pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC
FF,2025-04-15,97.2,-1.82,6.08,"Brown, Hunter",676475,686613,,called_strike,,,,,5.0,Alec Burleson singles on a ground ball to right fielder Cam Smith. Brendan Donovan to 3rd.,R,L,R,STL,HOU,S,,,0,0,2025,-0.45,1.8,0.07,2.83,,680977.0,,1,4,Bot,,,,,,,6.158959008410821,-141.2565129029648,-7.281111685298406,-7.563922256531442,34.98223662759753,-6.683480934844542,3.44,1.59,,,,97.6,2500.0,6.8,778308,673237,572233,643289,670623,665161,514888,676694,701358,53.73,,,,,,,,33,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204.0,0.0,-0.032,,,,0.032,,0,0,0.583,0.583,26,26,27,27,2,1,6.0,1.0,6.0,1.0,0.64,0.45,-0.45,60.6,,,,,,"Brown, Hunter",686613,R,0.949,0.887,0.527,0.968,,0.8079999999999999,0.409,,,0.8079999999999999
FF,2025-04-21,97.7,-1.66,6.39,"Brown, Hunter",702176,686613,,called_strike,,,,,4.0,Alan Roden called out on strikes.,R,L,R,HOU,TOR,S,,,2,1,2025,-0.71,1.74,-0.72,2.58,,,,0,3,Top,,,,,,,4.185401033746525,-141.9781700718784,-8.722886572529731,-10.636093717439447,36.177713915029194,-6.814001856394708,3.52,1.58,,,,97.5,2380.0,6.5,778231,673237,701305,663898,670623,665161,514888,676694,701358,53.98,,,,,,,,15,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,0.0,-0.072,,,,0.072,,0,0,0.5,0.5,26,25,27,26,1,0,6.0,2.0,6.0,1.0,0.68,0.71,-0.71,59.1,,,,,,"Brown, Hunter",686613,R,0.949,0.887,0.527,0.968,,0.8079999999999999,0.409,,,0.8079999999999999
FF,2025-04-08,96.8,1.45,6.23,"Skubal, Tarik",592450,669373,,swinging_strike,,,,,8.0,Aaron Judge flies out to center fielder Riley Greene.,R,R,L,DET,NYY,S,,,2,1,2025,0.83,1.69,0.2,2.37,,,,0,4,Top,,,,,,,-5.25731118038728,-140.47907256917293,-8.475194892354864,12.299000577178823,36.68852863129802,-8.092163403541157,4.08,1.86,,,,96.2,2300.0,6.4,778403,693307,679529,690993,595879,700242,681481,682985,656716,54.06,,,,,,,,24,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,153.0,0.0,-0.072,80.6,8.5,,0.072,,1,-1,0.629,0.371,28,33,29,33,2,1,6.0,1.0,6.0,1.0,0.79,0.83,-0.83,53.6,15.850272831835737,-3.6714228313134223,44.073272761038986,43.11646341932786,27.18876743602217,"Skubal, Tarik",669373,L,0.905,0.873,,0.7959999999999999,,0.53,0.3279999999999999,,,0.53
FF,2025-04-14,99.4,1.61,6.31,"Skubal, Tarik",686555,669373,strikeout,swinging_strike,,,,,3.0,Isaac Collins strikes out swinging.,R,R,L,MIL,DET,S,2.0,,3,2,2025,0.42,1.68,0.62,2.9,,668930.0,694192.0,1,6,Bot,,,,,,,-3.701007331049192,-144.37547861355586,-7.799255420627693,6.7446028591339235,38.440760915104285,-7.11966303179326,3.24,1.57,,,,98.9,2475.0,6.5,778323,693307,679529,650402,628451,595879,681481,668952,656716,54.05,,0.0,0.0,1.0,0.0,0.0,,51,6,4-Seam Fastball,0,9,0,9,9,0,0,9,Standard,Standard,157.0,-0.003,-0.297,65.4,6.2,,0.297,,-9,-9,0.007,0.007,28,27,29,28,3,2,6.0,1.0,6.0,7.0,0.67,0.42,-0.42,52.5,-8.917261222638288,35.50861001482385,24.686841688539463,46.48045753628803,9.92051310514645,"Skubal, Tarik",669373,L,0.905,0.873,,0.7959999999999999,,0.53,0.3279999999999999,,,0.53
FF,2025-08-01,94.2,-2.82,4.62,"Ryan, Joe",682657,657746,,called_strike,,,,,7.0,Angel Martínez grounds out to first baseman Kody Clemens.,R,L,R,CLE,MIN,S,,,0,0,2025,-1.34,1.64,-0.51,1.63,,608070.0,,2,1,Bot,,,,,,,9.039523775471832,-136.87517334370293,-5.755208850640197,-18.78052830606369,29.948640747738292,-10.418917787759955,3.18,1.36,,,,95.0,2453.0,6.8,776924,543877,665019,666397,668904,686797,702176,668885,670242,53.7,,,,,,,,8,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,225.0,0.0,-0.037,,,,0.037,,1,1,0.637,0.637,29,23,29,23,1,0,6.0,2.0,7.0,2.0,0.93,1.34,-1.34,29.9,,,,,,"Ryan, Joe",657746,R,0.968,0.953,,,0.792,0.73,0.336,0.64,,0.73
FF,2025-04-29,95.3,2.76,5.87,"Crochet, Garrett",662139,676979,,swinging_strike,,,,,11.0,Daulton Varsho walks.,R,L,L,TOR,BOS,S,,,1,0,2025,-0.02,1.64,-0.09,3.86,,,,2,4,Bot,,,,,,,-7.452817425629976,-138.36201829943607,-3.169228009535372,1.8140643623712396,38.69383978975006,-10.922584763647402,3.37,1.58,,,,94.5,2527.0,6.5,778127,665966,671213,692225,608324,596115,680776,678882,677800,53.97,,,,,,,,36,2,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,139.0,0.0,-0.056,61.4,6.8,,0.056,,-5,-5,0.061,0.061,26,28,26,29,2,1,5.0,,5.0,1.0,0.94,-0.02,-0.02,29.3,16.05176280587937,4.228638817730596,17.539247600318223,36.719677761690086,22.010252228684372,"Crochet, Garrett",676979,L,0.8620000000000001,0.86,0.405,0.85,,,,0.549,,
FF,2025-04-24,97.8,2.72,6.02,"Crochet, Garrett",668227,676979,,called_strike,,,,,3.0,Randy Arozarena walks.,R,R,L,BOS,SEA,S,,,0,0,2025,0.52,1.62,0.32,2.98,,664238.0,,2,1,Top,,,,,,,-7.743168089667696,-142.08600620815272,-6.4473674281124245,8.939511541340819,34.85844543479485,-8.896441714728383,3.26,1.47,,,,98.2,2585.0,6.8,778196,665966,671213,666152,608324,596115,680776,692225,677800,53.75,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,144.0,0.0,-0.037,,,,0.037,,0,0,0.515,0.485,26,30,26,30,1,0,5.0,1.0,5.0,2.0,0.78,0.52,-0.52,32.7,,,,,,"Crochet, Garrett",676979,L,0.8620000000000001,0.86,0.405,0.85,,,,0.549,,
FF,2025-04-18,94.3,-2.03,5.41,"Wheeler, Zack",665052,554430,,swinging_strike,,,,,12.0,Griffin Conine called out on strikes.,R,L,R,PHI,MIA,S,,,0,0,2025,-0.65,1.57,0.93,3.77,,,681393.0,0,5,Top,,,,,,,9.283077147342892,-136.9014882088508,-1.9914621133357835,-10.376955578688024,34.32363293770899,-12.391388594246193,3.57,1.67,,,,95.1,2471.0,7.2,778274,592663,547180,681082,664761,607208,596146,679032,592206,53.31,,,,,,,,36,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,221.0,0.0,-0.041,77.7,6.3,,0.041,,6,-6,0.954,0.046,35,27,35,28,2,1,5.0,1.0,5.0,1.0,1.04,0.65,-0.65,25.7,8.654401827549323,9.82439241103168,21.661800288786367,28.570957167733425,22.904849645714588,"Wheeler, Zack",554430,R,0.8620000000000001,0.8640000000000001,0.467,,0.853,0.684,,0.459,,0.684
FF,2025-04-18,95.1,-2.03,5.31,"Wheeler, Zack",665052,554430,,swinging_strike,,,,,2.0,Griffin Conine called out on strikes.,R,L,R,PHI,MIA,S,,,2,1,2025,-0.52,1.57,-0.08,3.45,,,681393.0,0,5,Top,,,,,,,6.39064481077037,-138.18961447881512,-2.6953498389956554,-8.235789861323257,35.43928595199135,-11.88779175811809,3.57,1.67,,,,95.8,2416.0,7.1,778274,592663,547180,681082,664761,607208,596146,679032,592206,53.4,,,,,,,,36,4,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,221.0,0.0,-0.079,69.4,6.2,,0.079,,6,-6,0.954,0.046,35,27,35,28,2,1,5.0,1.0,5.0,1.0,0.99,0.52,-0.52,22.0,-2.824071069915547,33.061114436830096,21.818828035591935,41.51476254559539,12.21340596522733,"Wheeler, Zack",554430,R,0.8620000000000001,0.8640000000000001,0.467,,0.853,0.684,,0.459,,0.684
FF,2025-08-01,94.1,-2.65,4.73,"Ryan, Joe",700932,657746,strikeout,swinging_strike,,,,,11.0,Kyle Manzardo strikes out swinging.,R,L,R,CLE,MIN,S,2.0,,1,2,2025,-1.46,1.56,-0.64,3.57,,608070.0,,1,1,Bot,,,,,,,8.523670401929586,-136.73903714362248,-0.7144938223361916,-20.268079626233444,30.689249806229498,-12.707323192972073,3.16,1.39,,,,94.7,2458.0,6.7,776924,543877,665019,666397,668904,686797,702176,668885,670242,53.76,,0.0,0.0,1.0,0.0,0.0,,7,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,227.0,-0.029,-0.205,50.4,5.2,,0.205,,1,1,0.666,0.666,29,24,29,25,1,0,6.0,2.0,7.0,1.0,1.03,1.46,-1.46,26.6,-5.909064964720497,54.56933643237516,31.746223583877025,45.863005020034464,3.558154741230365,"Ryan, Joe",657746,R,0.968,0.953,,,0.792,0.73,0.336,0.64,,0.73
FF,2025-05-28,92.9,2.27,5.6,"Boyd, Matthew",678662,571510,,swinging_strike,,,,,5.0,Ezequiel Tovar strikes out swinging.,R,R,L,CHC,COL,S,,,1,1,2025,1.09,1.45,0.04,2.31,,,,1,4,Top,,,,,,,-8.068479545177633,-134.85203976906462,-5.71095878702081,15.203909993683268,33.65485998897987,-13.435829781659123,3.43,1.57,,,,92.1,2226.0,6.3,777731,608348,683737,663538,807713,621020,664023,691718,663656,54.23,,,,,,,,24,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,121.0,0.0,-0.06,75.4,7.5,,0.06,,1,-1,0.657,0.343,34,23,34,24,2,1,5.0,1.0,7.0,2.0,1.24,1.09,-1.09,26.6,2.6075973735024034,8.994294126493081,41.43365415369249,33.38432406206172,20.832438031805555,"Boyd, Matthew",571510,L,0.947,0.949,,0.902,,0.762,0.254,,,0.762
FF,2025-03-30,93.4,2.11,5.41,"Boyd, Matthew",606466,571510,,called_strike,,,,,8.0,Ketel Marte singles on a fly ball to center fielder Pete Crow-Armstrong.,R,R,L,AZ,CHC,S,,,0,0,2025,1.03,1.4,0.08,1.96,,,,0,3,Bot,,,,,,,-7.520882099319692,-135.63415612864844,-6.159041405570938,14.428461303635585,32.074787103672755,-13.673347325476003,3.88,1.84,,,,93.1,2289.0,6.4,778515,665804,457759,663538,807713,621020,664023,691718,663656,54.08,,,,,,,,21,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,130.0,0.0,-0.04,,,,0.04,,-1,-1,0.43,0.43,34,31,34,32,2,1,,1.0,6.0,2.0,1.24,1.03,-1.03,25.3,,,,,,"Boyd, Matthew",571510,L,0.947,0.949,,0.902,,0.762,0.254,,,0.762
FF,2025-05-18,97.0,-2.63,5.79,"Skenes, Paul",596146,694973,,swinging_strike,,,,,6.0,Max Kepler strikes out swinging.,R,L,R,PHI,PIT,S,,,1,1,2025,-1.42,1.35,0.35,2.71,,,,1,7,Bot,,,,,,,11.241386362864809,-140.81293828310726,-5.801335366640943,-21.38154957014393,30.545317629486,-12.942498168416307,3.48,1.64,,,,97.4,2302.0,6.6,777880,680779,687462,624428,663647,643396,672744,665833,668804,53.94,,,,,,,,50,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,240.0,0.0,-0.06,65.9,6.1,,0.06,,1,1,0.776,0.776,23,32,23,32,3,2,6.0,1.0,5.0,1.0,1.07,1.42,-1.42,26.0,-10.446773895756916,22.511138805575904,36.77344937796591,34.911268827706735,15.865217795180396,"Skenes, Paul",694973,R,0.974,0.966,,0.976,0.902,0.439,0.297,0.36,,0.439
