pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-08-14,80.8,-2.47,5.63,"Sands, Cole",693307,663485,,swinging_strike,,,,,9,Dillon Dingler strikes out swinging.,R,R,R,MIN,DET,S,,,0,1,2025,1.56,-0.4,0.82,1.75,,656716.0,,0,10,Top,,,,,,,4.317042123108823,-117.6288969681135,-1.1342816828224296,13.403752085108344,25.071899674815025,-35.878922114107645,3.39,1.55,,,,79.6,2957,5.7,776744,680777,666397,807712,668904,680837,702176,668885,663616,54.79,,,,,,,,69,2,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,57,0.0,-0.066,70.3,7.9,,0.066,,0,0,0.5,0.5,27,26,28,27,1,3,,,,,3.93,-1.56,-1.56,,6.147149544455463,10.028308156941195,43.76939365275048,47.63076755076456,21.0573042400895
ST,2025-08-14,82.4,1.67,5.75,"Holton, Tyler",663616,663947,strikeout,swinging_strike,,,,,13,Trevor Larnach strikes out swinging.,R,L,L,MIN,DET,S,2.0,,1,2,2025,1.42,0.3,-1.66,2.12,,,,1,9,Bot,,,,,,,-4.792625224735233,-119.9443549117602,-2.234881672747813,-12.564392254795292,26.09125650065427,-29.04505205689492,3.74,1.74,,,,82.0,2845,6.3,776744,693307,679529,650402,656716,700242,682985,595879,681481,54.2,,0.0,0.0,1.0,0.0,0.0,,66,4,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,300,-0.044,-0.181,66.8,7.8,,0.181,,0,0,0.577,0.577,29,28,29,28,1,3,,,,,3.09,-1.42,-1.42,,11.280252506125723,-26.28502850302264,22.923416473936506,53.68732352024785,47.8874547311811
ST,2025-08-14,82.1,1.64,5.75,"Holton, Tyler",663616,663947,,swinging_strike,,,,,13,Trevor Larnach strikes out swinging.,R,L,L,MIN,DET,S,,,1,1,2025,1.33,0.15,-1.14,0.69,,,,1,9,Bot,,,,,,,-3.722177315854061,-119.47675928055564,-5.188288851800848,-11.97265601163509,24.35345109327655,-29.947498909686445,3.74,1.74,,,,82.4,2727,6.6,776744,693307,679529,650402,656716,700242,682985,595879,681481,53.87,,,,,,,,66,3,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,296,0.0,-0.06,67.0,8.4,,0.06,,0,0,0.577,0.577,29,28,29,28,1,3,,,,,3.25,-1.33,-1.33,,25.07453145306913,-38.463279798514286,41.25332965314775,46.96844507395631,55.57577579774804
CU,2025-08-14,81.0,-2.56,5.7,"Sands, Cole",693307,663485,,called_strike,,,,,5,Dillon Dingler strikes out swinging.,R,R,R,MIN,DET,S,,,0,0,2025,1.31,-0.51,-0.19,2.41,,656716.0,,0,10,Top,,,,,,,2.7535190299358896,-117.92071023124116,0.3166274630033669,11.50503262777323,25.30558123548791,-37.20968329922544,3.39,1.55,,,,79.6,2908,5.6,776744,680777,666397,807712,668904,680837,702176,668885,663616,54.89,,,,,,,,69,1,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,55,0.0,-0.045,,,,0.045,,0,0,0.5,0.5,27,26,28,27,1,3,,,,,4.02,-1.31,-1.31,,,,,,
ST,2025-08-14,85.8,-2.25,5.97,"Evans, Logan",663624,688138,,swinging_strike,,,,,14,Ryan Mountcastle strikes out swinging.,R,R,R,BAL,SEA,S,,,0,1,2025,1.29,-0.06,1.03,2.34,676059.0,,,2,1,Bot,,,,,,,5.097369863118714,-124.89169287245416,-2.135451275710665,12.297199061519724,27.765827844596902,-32.56379727610791,3.7,1.82,,,,84.5,2877,5.7,776750,641598,647304,702284,553993,641487,668227,677594,686527,54.83,,,,,,,,8,2,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,56,0.0,-0.063,74.9,8.0,,0.063,,0,0,0.536,0.536,24,28,24,28,1,0,,,,,3.18,-1.29,-1.29,,13.805094219359496,-17.262878746009086,27.787967928217316,50.82031643677964,35.89209379859899
ST,2025-08-14,84.6,-2.58,5.99,"Sugano, Tomoyuki",677594,608372,,swinging_strike,,,,,14,Julio Rodríguez hit by pitch.,R,R,R,BAL,SEA,S,,,0,1,2025,1.29,0.16,1.22,1.41,,,,2,1,Top,,,,,,,6.273065951733549,-123.10730507417992,-4.648088134133687,11.853765185827882,24.43793427883808,-29.827129966105595,3.42,1.59,,,,84.5,2719,6.2,776750,656577,691723,702616,676059,683002,666185,669288,669236,54.29,,,,,,,,3,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,59,0.0,-0.056,69.9,9.1,,0.056,,0,0,0.537,0.463,35,24,36,25,1,0,,,,,3.03,-1.29,-1.29,,25.692404703335523,-45.214072443263,34.019463984742806,47.29417179398587,62.46847586381426
CU,2025-08-14,76.8,-2.91,5.77,"Scherzer, Max",683737,453286,,called_strike,,,,,2,Michael Busch strikes out swinging.,R,L,R,TOR,CHC,S,,,0,0,2025,1.26,-0.85,0.07,3.04,,621020.0,,2,3,Top,,,,,,,3.99805188157226,-111.6361466583815,2.7923285979166157,9.6763224037116,21.680447654702387,-39.99180404772574,3.29,1.66,,,,76.2,2616,6.1,776747,623168,664034,676391,680718,666182,676914,664702,694388,54.39,,,,,,,,16,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,70,0.0,-0.037,,,,0.037,,0,0,0.517,0.483,40,27,41,28,2,1,,,,,4.74,-1.26,1.26,,,,,,
CU,2025-08-14,82.7,-1.29,5.97,"Strowd, Kade",593871,669704,,called_strike,,,,,3,Jorge Polanco lines out to shortstop Gunnar Henderson.,R,L,R,BAL,SEA,S,,,1,0,2025,1.24,-1.18,0.59,2.81,,,,1,8,Top,,,,,,,1.8610919929754783,-120.1761756494545,1.7644942265543453,11.3019033523645,29.24032411043099,-44.05537400497687,3.26,1.62,,,,81.6,2969,6.2,776750,656577,691723,702616,676059,683002,666185,656185,669288,54.26,,,,,,,,62,2,Curveball,5,2,2,5,2,5,2,5,Standard,Standard,47,0.0,-0.049,,,,0.049,,3,-3,0.956,0.044,27,31,28,32,1,3,,,,,4.59,-1.24,1.24,,,,,,
CU,2025-08-14,84.9,-0.9,6.19,"Cabrera, Edward",682657,665795,,swinging_strike,,,,,9,Angel Martínez strikes out swinging.,R,L,R,CLE,MIA,S,,,1,1,2025,1.23,-0.74,0.64,1.98,,,,0,3,Bot,,,,,,,1.123260043253834,-123.66296118453396,-2.05391218361466,12.417969163599636,24.858566217174012,-39.60754643761086,3.22,1.42,,,,85.2,2545,6.4,776745,689414,687859,669364,688363,672640,669065,805300,681715,54.06,,,,,,,,23,3,Curveball,3,3,3,3,3,3,3,3,Infield shade,Standard,35,0.0,-0.06,77.1,8.3,,0.06,,0,0,0.554,0.554,27,23,27,23,2,1,,,,,3.9,-1.23,1.23,,24.277267694884276,-29.34298817843489,33.7609623577934,27.190694328635427,43.98861909818325
CU,2025-08-14,75.1,-1.38,5.89,"Bellozo, Valente",682657,678368,,swinging_strike,,,,,14,"Angel Martínez grounds out, second baseman Xavier Edwards to first baseman Troy Johnston.",R,L,R,CLE,MIA,S,,,0,1,2025,1.2,-0.86,0.02,0.52,,,,0,8,Bot,,,,,,,0.7647816541259705,-109.36395237371076,-2.387021345772946,9.443484473944949,20.95930361956445,-38.80087799706553,3.22,1.42,,,,74.5,2794,6.0,776745,689414,687859,669364,691594,672640,669065,805300,681715,54.53,,,,,,,,72,2,Curveball,9,4,9,4,4,9,9,4,Infield shade,Standard,39,0.0,-0.054,71.2,8.5,,0.054,,5,5,0.996,0.996,25,23,25,23,1,4,,,,,4.92,-1.2,1.2,,26.543913093269744,-27.11742035505194,43.059528884704925,35.6188836930361,50.27402656958085
SL,2025-08-14,81.0,-2.9,6.09,"Robertson, David",605137,502085,,swinging_strike,,,,,1,Josh Bell singles on a soft ground ball to third baseman Edmundo Sosa.,R,L,R,WSH,PHI,S,,,3,1,2025,1.19,-0.39,-0.62,3.18,,,,1,8,Bot,,,,,,,2.8434515933861757,-117.92695233801692,0.8498906171041043,10.588143524591723,21.88788260513406,-36.14864296645873,3.69,1.74,,,,81.2,2714,6.3,776743,592663,547180,681082,624641,607208,596146,664056,592206,54.17,,,,,,,,63,5,Slider,3,2,3,2,2,3,3,2,Strategic,Standard,62,0.0,-0.077,73.0,7.1,,0.077,,1,1,0.858,0.858,40,32,40,33,1,3,,,,,3.85,-1.19,1.19,,-0.6832483357357158,18.284022992017924,29.14268202870032,43.93731100388362,20.797877404072203
ST,2025-08-14,85.5,-2.09,6.03,"Evans, Logan",663624,688138,,called_strike,,,,,6,Ryan Mountcastle strikes out swinging.,R,R,R,BAL,SEA,S,,,0,0,2025,1.19,0.01,0.52,2.86,676059.0,,,2,1,Bot,,,,,,,3.702952522275535,-124.39666429066756,-1.1129031047608628,11.398430396422375,28.819515209622537,-32.06293379690262,3.49,1.75,,,,84.1,2706,5.7,776750,641598,647304,702284,553993,641487,668227,677594,686527,54.78,,,,,,,,8,1,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,60,0.0,-0.049,,,,0.049,,0,0,0.536,0.536,24,28,24,28,1,0,,,,,3.15,-1.19,-1.19,,,,,,
SL,2025-08-14,82.6,-3.03,5.8,"Robertson, David",656180,502085,,called_strike,,,,,4,"Riley Adams strikes out swinging, catcher J.T. Realmuto to first baseman Bryce Harper.",R,R,R,WSH,PHI,S,,,0,0,2025,1.15,0.24,-0.77,2.92,,,605137.0,2,8,Bot,,,,,,,2.912698988604916,-120.24022309774664,-0.5044828324909367,10.584305131669325,23.61524898667861,-29.9328316111177,3.52,1.64,,,,83.1,2626,6.6,776743,592663,547180,681082,624641,607208,596146,664056,592206,53.9,,,,,,,,65,1,Slider,3,2,3,2,2,3,3,2,Standard,Standard,78,0.0,-0.044,,,,0.044,,1,1,0.856,0.856,40,29,40,29,1,3,,,,,3.1,-1.15,-1.15,,,,,,
ST,2025-08-14,75.5,-1.53,5.94,"Ober, Bailey",650402,641927,,swinging_strike,,,,,9,Gleyber Torres flies out to center fielder Austin Martin.,R,R,R,MIN,DET,S,,,1,0,2025,1.09,0.13,0.53,1.38,,,690993.0,0,6,Top,,,,,,,2.3959857261106747,-109.87843791313554,-2.5511601323448287,8.253919870863408,21.759056148807165,-30.848520582837278,3.24,1.5,,,,76.6,2034,7.3,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.16,,,,,,,,42,2,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,55,0.0,-0.046,69.5,8.7,,0.046,,0,0,0.447,0.553,29,28,30,29,3,2,,,,,3.9,-1.09,-1.09,,27.04606417702298,-40.41518357767084,35.1026809074041,39.57458864381186,59.21992703049193
CU,2025-08-14,80.8,-2.35,5.07,"Henry, Cole",607208,669371,,called_strike,,,,,9,Trea Turner strikes out swinging.,R,R,R,WSH,PHI,S,,,1,0,2025,1.08,0.59,0.54,1.88,596146.0,,,2,9,Top,,,,,,,4.434443765605209,-117.68374518370533,-1.6715228792748504,9.349831644880885,20.31184353546906,-26.5176666010755,3.52,1.74,,,,82.1,2410,6.9,776743,656180,605137,671277,677588,657557,695734,690987,686611,53.62,,,,,,,,69,2,Curveball,3,2,2,3,2,3,2,3,Standard,Standard,69,0.0,-0.047,,,,0.047,,1,-1,0.875,0.125,25,32,26,32,1,4,,,,,2.87,-1.08,-1.08,,,,,,
ST,2025-08-14,79.2,-1.52,5.9,"Ober, Bailey",679529,641927,,called_strike,,,,,2,Spencer Torkelson pops out to catcher Ryan Jeffers in foul territory.,R,R,R,MIN,DET,S,,,0,0,2025,1.07,0.13,-0.18,3.34,,,,1,2,Top,,,,,,,0.9362423579364486,-115.32961998099888,0.9583780710087652,9.415029216269572,21.11018959367481,-31.369413086097573,3.58,1.66,,,,80.7,2071,7.2,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.28,,,,,,,,9,1,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,63,0.0,-0.038,,,,0.038,,0,0,0.523,0.477,29,25,30,26,1,0,,,,,3.49,-1.07,-1.07,,,,,,
ST,2025-08-14,86.4,-1.97,5.71,"Kerkering, Orion",677588,689147,,swinging_strike,,,,,14,José Tena singles on a ground ball to center fielder Brandon Marsh. Paul DeJong scores. Riley Adams scores. Daylen Lile to 2nd.,R,L,R,WSH,PHI,S,,,1,0,2025,1.05,0.27,0.43,0.97,657557.0,656180.0,695734.0,1,7,Bot,,,,,,,3.5753173873897066,-125.82187099012948,-5.634486205070256,10.41680999904951,25.316438483071185,-28.38857420119693,3.42,1.66,,,,86.3,2909,6.2,776743,592663,547180,681082,624641,607208,596146,669016,592206,54.33,,,,,,,,55,2,Sweeper,1,2,1,2,2,1,1,2,Strategic,Standard,63,0.0,-0.051,75.8,8.1,,0.051,,-1,-1,0.555,0.555,24,24,24,24,1,2,,,,,2.78,-1.05,1.05,,22.053449791708637,-30.25029426082732,42.0398129717379,31.11923728440071,47.69361482000421
SL,2025-08-14,73.7,-3.87,1.3,"Rogers, Tyler",621566,643511,,called_strike,,,,,5,Matt Olson flies out to center fielder Cedric Mullins.,R,L,R,NYM,ATL,S,,,1,0,2025,1.04,1.53,-0.08,2.67,,,595777.0,2,7,Top,,,,,,,5.858275435118824,-106.74453566863136,7.557675074009296,6.680372183361454,21.210142446947614,-22.4007952835344,3.43,1.7,,,,72.7,2346,6.2,776748,620443,624413,643446,683146,596019,607043,656775,665742,54.33,,,,,,,,52,2,Slider,3,2,2,3,2,3,2,3,Standard,Standard,124,0.0,-0.05,,,,0.05,,1,-1,0.749,0.251,34,31,35,31,1,3,,,,,2.76,-1.04,1.04,,,,,,
ST,2025-08-14,76.8,-1.46,5.98,"Ober, Bailey",693307,641927,,called_strike,,,,,2,Dillon Dingler flies out to right fielder Trevor Larnach.,R,R,R,MIN,DET,S,,,2,1,2025,1.03,0.45,-0.17,3.24,,,,1,5,Top,,,,,,,0.8743985861060595,-111.77428529354265,0.4506397651529332,8.373583204406247,21.7955137323234,-28.773061093928494,3.39,1.55,,,,77.7,2163,7.1,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.37,,,,,,,,35,4,Sweeper,3,2,2,3,2,3,2,3,Standard,Standard,63,0.0,-0.066,,,,0.066,,1,-1,0.676,0.324,29,26,30,27,2,1,,,,,3.44,-1.03,-1.03,,,,,,
