pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,entity_id
CH,2025-08-19,86.5,2.12,6.03,"Sánchez, Cristopher",663728,650911,,swinging_strike,,,,,8,Cal Raleigh walks.,R,R,L,PHI,SEA,S,,,0,0,2025,1.7,0.04,0.24,1.69,,668227.0,,1,3,Top,,,,,,,-8.039660895573412,-125.69136024609664,-4.210381380861821,19.6743396507886,26.337374213890637,-31.10056545033624,3.64,1.68,,,,87.3,2107.0,7.0,776680,592663,547180,681082,664761,607208,669016,664056,592206,53.54,,,,,,,,19,1,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,111.0,0.0,-0.033,81.6,8.7,,0.033,,0,0,0.478,0.522,28,28,29,29,2,1,,,,,3.03,1.7,-1.7,,22.49206814560685,-14.153222106342302,40.93129762405129,37.46085575293294,51.94761288301154,,0.924,,0.836,,,0.233,,,650911
SI,2025-08-19,96.4,1.88,6.02,"Sánchez, Cristopher",677594,650911,strikeout,called_strike,,,,,13,Julio Rodríguez called out on strikes.,R,R,L,PHI,SEA,S,2.0,,3,2,2025,1.69,0.31,-1.02,2.17,,,,2,1,Top,,,,,,,-11.639005403873696,-139.9437348816416,-5.418326259747214,24.73735956252181,30.180738327138545,-26.98989377403425,3.45,1.59,,,,97.3,2143.0,6.8,776680,592663,547180,681082,664761,607208,669016,664056,592206,53.66,,0.0,0.0,1.0,0.0,0.0,,3,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,123.0,0.01,-0.32,,,,0.32,,0,0,0.537,0.463,28,24,29,25,1,0,,,,,2.14,1.69,-1.69,,,,,,,,0.924,,0.836,,,0.233,,,650911
SI,2025-08-19,96.2,-0.99,6.15,"Cabrera, Edward",695336,665795,,called_strike,,,,,6,Thomas Saggese singles on a fly ball to right fielder Troy Johnston.,R,R,R,MIA,STL,S,,,0,0,2025,1.65,0.88,0.38,2.74,,,,0,2,Top,,,,,,,7.374696778750397,-139.68385145932876,-5.385698895182182,-23.290678096831964,35.24852097837836,-19.61864515835173,3.53,1.62,,,,95.7,2445.0,6.4,776686,682663,676572,669364,691185,672640,681715,805300,687859,54.12,,,,,,,,10,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,217.0,0.0,-0.04,,,,0.04,,-1,1,0.392,0.608,27,23,27,23,1,0,,,,,1.62,1.65,1.65,,,,,,,0.917,0.8790000000000001,,0.929,,0.767,0.21600000000000003,,,665795
CH,2025-08-19,94.9,-0.98,6.27,"Cabrera, Edward",691026,665795,,swinging_strike,,,,,13,Masyn Winn strikes out swinging.,R,R,R,MIA,STL,S,,,1,1,2025,1.65,0.57,-0.01,1.26,,671056.0,575929.0,1,1,Top,,,,,,,6.181941624382255,-137.81427319491848,-8.631710349501844,-22.346482851121756,31.0739829918957,-23.160540730755773,3.37,1.55,,,,94.4,1818.0,6.1,776686,682663,676572,669364,691185,672640,681715,805300,687859,54.35,,,,,,,,5,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,233.0,0.0,-0.064,76.2,8.7,,0.064,,-1,1,0.366,0.634,27,23,27,23,1,0,,,,,1.98,1.65,1.65,,18.94632362090013,-22.86457891179449,32.37459881204755,32.625173941440835,45.88864957193719,0.917,0.8790000000000001,,0.929,,0.767,0.21600000000000003,,,665795
SI,2025-08-19,94.0,-2.24,5.34,"Teng, Kai-Wei",650333,678906,,called_strike,,,,,6,Luis Arraez flies out to right fielder Drew Gilbert.,R,L,R,SD,SF,S,,,0,0,2025,1.65,0.26,0.64,2.25,,,665487.0,1,3,Bot,,,,,,,11.03608606940368,-136.2844693403525,-2.7302942763092237,-23.08197983019809,34.73259169397625,-28.433237245913613,3.25,1.53,,,,92.9,2400.0,6.2,776667,672275,642086,666149,669477,683766,671218,808982,687551,54.29,,,,,,,,24,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,238.0,0.019,-0.042,,,,0.042,,0,0,0.557,0.557,26,28,27,28,2,1,,,,,2.37,1.65,-1.65,,,,,,,0.772,0.736,,0.8690000000000001,,0.7290000000000001,,0.449,,678906
SI,2025-08-19,96.9,-1.84,5.87,"Seymour, Carson",593428,693313,strikeout,swinging_strike,,,,,8,Xander Bogaerts strikes out swinging.,R,R,R,SD,SF,S,2.0,,1,2,2025,1.64,0.38,0.28,1.8,,,,0,7,Bot,,,,,,,9.478406251240866,-140.58278136713938,-6.108366490598982,-24.044987029397216,36.9196791367871,-25.758606947329035,3.67,1.69,,,,96.8,2430.0,6.7,776667,672275,642086,666149,669477,683766,671218,808982,687529,53.77,,0.0,0.0,1.0,0.0,0.0,,60,4,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,224.0,-0.003,-0.193,67.6,7.8,,0.193,,4,4,0.974,0.974,26,32,27,33,1,3,,,,,2.09,1.64,1.64,,19.594274654989693,-19.119024365116573,35.035361031573366,40.10001443050287,41.54679665851614,0.8370000000000001,0.7490000000000001,0.429,,,0.6729999999999999,0.564,,,693313
SI,2025-08-19,91.1,2.98,4.36,"Backhus, Kyle",682657,679775,,called_strike,,,,,9,Angel Martínez pops out to shortstop Geraldo Perdomo.,R,R,L,AZ,CLE,S,,,1,0,2025,1.64,0.38,0.32,1.73,677587.0,666310.0,680757.0,2,8,Top,,,,,,,-10.34836909301389,-132.28746041410798,-1.483844431584998,21.446928311164488,29.16088571916141,-27.57335816260945,3.05,1.4,,,,92.3,2324.0,7.2,776672,645444,656976,606466,677942,672695,664983,677950,682998,53.3,,,,,,,,70,2,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,100.0,0.0,-0.019,,,,0.019,,1,-1,0.695,0.305,27,23,27,23,1,4,,,,,2.38,1.64,-1.64,,,,,,,,0.958,,0.986,,,,0.47500000000000003,,679775
SI,2025-08-19,95.2,1.93,5.52,"Speier, Gabe",656941,642100,,called_strike,,,,,1,"Kyle Schwarber grounds out, first baseman Josh Naylor to second baseman Jorge Polanco to pitcher Gabe Speier.",R,L,L,PHI,SEA,S,,,0,0,2025,1.63,0.56,-0.79,2.86,,,,2,7,Bot,,,,,,,-10.71595830401914,-138.26497105894106,-2.5393189501776203,23.31837999357837,31.29392269373525,-24.637435203645367,3.35,1.51,,,,94.4,2095.0,6.0,776680,641598,647304,593871,553993,641487,668227,677594,664238,54.51,,,,,,,,61,1,Sinker,4,4,4,4,4,4,4,4,Infield shade,Standard,125.0,0.0,-0.045,,,,0.045,,0,0,0.52,0.52,30,32,30,32,1,3,,,,,1.97,1.63,1.63,,,,,,,0.9309999999999999,0.925,,,,,0.35200000000000004,,,642100
SI,2025-08-19,95.9,-2.44,5.18,"Iglesias, Raisel",672820,628452,,called_strike,,,,,5,Lenyn Sosa flies out to center fielder Michael Harris II.,R,R,R,ATL,CWS,S,,,0,0,2025,1.63,0.36,0.07,2.48,,,,2,9,Top,,,,,,,10.312543535282996,-139.26310248332473,-2.321808443193396,-23.49155364337731,30.86563877627857,-27.21398521308115,3.42,1.61,,,,95.9,2518.0,6.4,776687,686948,621566,645277,805373,660644,595777,671739,660670,54.13,,,,,,,,84,1,Sinker,11,10,10,11,10,11,10,11,Standard,Standard,238.0,0.0,-0.045,,,,0.045,,1,-1,0.965,0.035,35,25,35,25,1,4,,,,,2.13,1.63,1.63,,,,,,,0.8640000000000001,0.8940000000000001,,0.836,,,0.313,,,628452
SI,2025-08-19,95.3,1.94,5.98,"Sánchez, Cristopher",647304,650911,,called_strike,,,,,7,Josh Naylor strikes out swinging.,R,L,L,PHI,SEA,S,,,0,1,2025,1.62,0.3,-0.62,1.84,,,553993.0,0,2,Top,,,,,,,-10.471952462291924,-138.39469422085162,-5.963969700325926,23.085601937657906,30.31648472757953,-27.11701998420124,3.2,1.51,,,,96.3,2112.0,6.9,776680,592663,547180,681082,664761,607208,669016,664056,592206,53.56,,,,,,,,10,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,117.0,0.0,-0.052,,,,0.052,,1,-1,0.568,0.432,28,28,29,28,1,0,,,,,2.21,1.62,1.62,,,,,,,,0.924,,0.836,,,0.233,,,650911
