pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_KC,eta_SL,eta_ST,eta_SV
FF,2025-09-05,100.3,-0.22,6.66,"Stanek, Ryne",663886,592773,strikeout,swinging_strike,,,,,12.0,Tyler Stephenson strikes out swinging. Santiago Espinal to 3rd. Spencer Steer to 2nd. Passed ball by catcher Francisco Alvarez.,R,R,R,CIN,NYM,S,2.0,,1,2,2025,-0.48,1.8,0.74,4.08,,669289.0,668715.0,1,6,Bot,,,,,,,3.749312462722663,-145.8640591364743,-5.972918183340547,-7.785464986003562,35.647684123347226,-5.252299008328733,3.38,1.55,,,,99.1,2479.0,5.8,776450,682626,624413,682668,668901,596019,607043,643446,665742,54.73,,0.0,0.0,1.0,0.0,0.0,,55,4,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,199.0,-0.048,-0.183,66.6,6.9,,0.183,,-1,-1,0.453,0.453,33,28,34,29,1,2,,,,,0.47,0.48,0.48,,13.37746351441768,16.732872623351412,23.828080381865234,47.25087658500805,12.07366145100846,"Stanek, Ryne",592773,R,0.994,,,,0.937,,,0.2239999999999999,0.417,
FF,2025-09-05,97.8,-0.88,6.56,"Petersen, Michael",664056,656848,,called_strike,,,,,8.0,Harrison Bader strikes out on a foul tip.,R,R,R,MIA,PHI,S,,,0,1,2025,-0.49,1.67,0.16,2.1,,,,0,9,Top,,,,,,,3.934950832191241,-141.9576641343946,-10.310382120517762,-7.52671910920251,34.84666397503326,-7.403385724113434,3.19,1.64,,,,97.6,2232.0,6.5,776456,640459,676572,676466,691594,691185,683748,805300,686894,54.03,,,,,,,,74,2,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,205.0,0.0,-0.055,,,,0.055,,-6,6,0.002,0.998,31,31,31,31,1,4,,,,,0.74,0.49,0.49,,,,,,,"Petersen, Michael",656848,R,0.99,,0.372,,,,,,,
FF,2025-09-05,92.5,-2.5,5.98,"Kremer, Dean",808975,665152,,called_strike,,,,,3.0,"Hyeseong Kim strikes out swinging, catcher Samuel Basallo to first baseman Coby Mayo.",R,L,R,BAL,LAD,S,,,0,0,2025,-0.58,1.67,0.56,2.7,,,,0,3,Top,,,,,,,8.986059961357144,-134.28289755355075,-6.077184344752201,-9.100866416092003,30.699839076726768,-10.880128203775604,2.92,1.35,,,,91.4,2432.0,5.9,776454,694212,691723,702616,656896,683002,687637,681297,669236,54.61,,,,,,,,14,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,0.0,-0.04,,,,0.04,,0,0,0.5,0.5,29,26,29,26,1,0,,,,,1.02,0.58,-0.58,,,,,,,"Kremer, Dean",665152,R,0.978,0.924,0.455,,0.963,0.638,0.638,,,
FF,2025-09-05,91.0,-1.98,5.97,"Assad, Javier",695578,665871,,called_strike,,,,,4.0,James Wood called out on strikes.,R,L,R,CHC,WSH,S,,,2,0,2025,-0.5,1.65,-0.79,2.9,,,,0,1,Top,,,,,,,4.074255229017012,-132.3207774661114,-5.276434297711239,-6.848764596052486,32.10977846273202,-11.932981789339683,3.88,1.83,,,,90.8,2073.0,6.5,776455,624512,683737,663538,807713,621020,664023,691718,650489,54.01,,,,,,,,1,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,-0.073,,,,0.073,,0,0,0.5,0.5,27,22,28,23,1,0,,,,,1.14,0.5,-0.5,,,,,,,"Assad, Javier",665871,R,0.8890000000000001,0.876,0.59,,,,,,0.536,
FF,2025-09-05,95.9,-0.89,6.72,"Petersen, Michael",664056,656848,,called_strike,,,,,4.0,Harrison Bader strikes out on a foul tip.,R,R,R,MIA,PHI,S,,,0,0,2025,-0.57,1.64,-0.43,2.63,,,,0,9,Top,,,,,,,2.507850773388114,-139.41958010658823,-8.917012193763396,-7.9674751260124195,33.45826735772518,-8.950392340749927,3.16,1.63,,,,95.9,2162.0,6.5,776456,640459,676572,676466,691594,691185,683748,805300,686894,53.98,,,,,,,,74,1,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,206.0,0.0,-0.04,,,,0.04,,-6,6,0.002,0.998,31,31,31,31,1,4,,,,,0.86,0.57,0.57,,,,,,,"Petersen, Michael",656848,R,0.99,,0.372,,,,,,,
FF,2025-09-05,94.2,-2.38,5.63,"Gausman, Kevin",700250,592332,,called_strike,,,,,8.0,"Ben Rice grounds out, third baseman Ernie Clement to first baseman Vladimir Guerrero Jr.",R,L,R,NYY,TOR,S,,,1,0,2025,-0.83,1.63,0.13,1.97,,,663757.0,2,8,Bot,,,,,,,8.432988275140858,-136.61440873075782,-7.385316760536138,-12.463414295210184,35.55890892323976,-10.283252535294384,3.66,1.76,,,,94.3,2366.0,7.0,776457,672386,665489,665926,676391,666182,664770,662139,680718,53.54,,,,,,,,65,2,4-Seam Fastball,1,6,1,6,6,1,1,6,Infield shade,Standard,219.0,0.0,-0.051,,,,0.051,,-5,-5,0.01,0.01,34,26,34,26,4,3,,,,,0.99,0.83,-0.83,,,,,,,"Gausman, Kevin",592332,R,0.982,,,,0.846,,,0.193,,
FF,2025-09-05,95.6,-1.73,5.89,"Bachar, Lake",681082,669199,,called_strike,,,,,8.0,Bryson Stott grounds out to first baseman Eric Wagaman.,R,L,R,MIA,PHI,S,,,0,0,2025,-1.18,1.62,-0.26,1.94,,,,2,4,Top,,,,,,,6.488380596318172,-138.8398953976811,-8.29307459656881,-16.73140279768313,34.821761778397416,-9.45847104520641,3.45,1.56,,,,94.4,2771.0,5.9,776456,682663,676572,691185,691594,672640,683748,805300,686894,54.56,,,,,,,,30,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Strategic,Standard,214.0,0.0,-0.045,,,,0.045,,-4,4,0.128,0.872,30,27,30,28,1,1,,,,,0.9,1.18,-1.18,,,,,,,"Bachar, Lake",669199,R,0.895,,,,0.963,,,0.185,0.431,
FF,2025-09-05,98.7,1.41,5.96,"Montgomery, Mason",671655,682254,,swinging_strike,,,,,12.0,George Valera lines out to center fielder Everson Pereira.,R,L,L,TB,CLE,S,,,0,0,2025,0.64,1.61,0.38,3.88,,,608070.0,2,8,Top,,,,,,,-4.328615989146745,-143.73424867489152,-3.999040271475125,9.86263204335362,31.81253816874234,-9.09635857899534,3.3,1.5,,,,99.4,2203.0,6.5,776451,676439,680700,664040,691406,700246,663968,677592,666139,53.99,,,,,,,,69,1,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,156.0,0.0,-0.043,65.6,4.8,,0.043,,-6,6,0.008,0.992,25,24,25,25,1,1,,,,,0.72,0.64,0.64,,-1.0291251693323908,47.21694167438992,20.398685363279903,32.99902416455392,10.880841724410509,"Montgomery, Mason",682254,L,0.981,,,,,,,0.143,,
FF,2025-09-05,93.7,-1.38,6.47,"Wacha, Michael",670242,608379,,swinging_strike,,,,,5.0,Matt Wallner strikes out on a foul tip.,R,L,R,KC,MIN,S,,,0,0,2025,-0.52,1.61,0.1,2.84,,,,2,4,Top,,,,,,,5.00027488507391,-136.2841843647671,-7.260769567765234,-7.556306898408923,29.112781710479247,-10.67785404808812,3.71,1.79,,,,94.4,91.0,6.6,776446,521692,686469,686681,672580,677951,624428,664728,695506,53.86,,,,,,,,29,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,213.0,0.0,-0.045,76.2,6.9,,0.045,,2,-2,0.782,0.218,33,27,34,28,2,1,,,,,0.98,0.52,-0.52,,13.78188064306816,0.9288020579004974,29.65132461076468,39.194903685869406,34.05722409892773,"Wacha, Michael",608379,R,0.983,0.964,0.605,0.784,,0.886,0.886,0.29,,
FF,2025-09-05,94.4,-1.64,5.7,"Pagán, Emilio",624413,641941,,called_strike,,,,,6.0,Pete Alonso flies out to right fielder Noelvi Marte.,R,R,R,CIN,NYM,S,,,3,0,2025,-0.4,1.6,0.59,2.28,,,,0,9,Top,,,,,,,6.7673596687904105,-137.19954369414873,-6.867254170781429,-6.539456800204039,29.459763505115024,-10.565670445514852,3.49,1.55,,,,95.5,2562.0,6.9,776450,624431,668715,680574,663647,682829,669720,670770,682622,53.58,,,,,,,,73,4,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,206.0,0.0,-0.089,,,,0.089,,-1,1,0.158,0.842,34,30,34,31,1,4,,,,,0.95,0.4,0.4,,,,,,,"Pagán, Emilio",641941,R,0.942,,0.351,,0.8079999999999999,,,,,
