pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_KC,eta_SL,eta_ST,eta_SV
ST,2025-09-16,82.2,-3.21,5.4,"Kelly, Zack",695391,677161,,called_strike,,,,,4,Brett Harris strikes out swinging.,R,R,R,BOS,ATH,S,,,0,1,2025,1.96,0.36,-0.39,2.19,,,,0,9,Top,,,,,,,2.607497198723448,-119.6881512741111,-1.3717275318950424,18.03704999362724,26.619384442384227,-28.66728758623917,3.42,1.57,,,,82.7,2742.0,7.0,776310,657136,663993,663853,608324,596115,680776,678882,681987,53.53,,,,,,,,69,2,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,65.0,0.0,-0.054,,,,0.054,,-1,1,0.158,0.842,30,27,30,27,1,3,,,,,3.05,-1.96,-1.96,,,,,,,"Kelly, Zack",677161,R,0.937,0.951,0.58,0.947,,,,,0.5710000000000001,
ST,2025-09-16,82.0,-2.9,5.5,"King, Michael",624413,650633,,called_strike,,,,,6,Pete Alonso homers (35) on a fly ball to center field.,R,R,R,NYM,SD,S,,,1,0,2025,1.87,0.03,0.65,2.41,,,,2,2,Bot,,,,,,,4.411332280277285,-119.34857662375708,-0.4732787388092779,16.975140369895133,23.13426195974685,-32.0067474479006,3.62,1.78,,,,81.8,2780.0,6.2,776304,666023,656811,650333,592518,630105,657656,701538,665487,54.33,,,,,,,,19,2,Sweeper,6,1,6,1,1,6,6,1,Standard,Standard,59.0,0.0,-0.054,,,,0.054,,5,5,0.917,0.917,30,30,30,31,2,1,,,,,3.36,-1.87,-1.87,,,,,,,"King, Michael",650633,R,0.8420000000000001,0.766,,0.961,,,,0.311,0.521,
ST,2025-09-16,79.9,-2.61,5.97,"Blubaugh, AJ",694671,805123,,swinging_strike,,,,,9,Wyatt Langford strikes out swinging.,R,R,R,HOU,TEX,S,,,1,0,2025,1.81,0.14,0.76,1.88,,,,1,1,Top,,,,,,,4.032522589310994,-116.2275819845904,-2.438100779789639,15.333250352911778,25.27243282002687,-30.622108641603887,3.32,1.58,,,,80.0,2818.0,6.7,776301,605170,572233,514888,621043,665161,660821,676694,805904,53.76,,,,,,,,2,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,60.0,0.0,-0.051,70.5,8.4,,0.051,,0,0,0.522,0.478,24,23,25,24,1,0,,,,,3.48,-1.81,-1.81,,35.191148891318555,-48.02850423728569,32.06301470011535,42.97064956646798,60.80422517375726,"Blubaugh, AJ",805123,R,0.994,,,0.8470000000000001,,0.861,0.861,,0.512,
ST,2025-09-16,79.2,-2.51,4.05,"Anderson, Grant",694203,681982,,called_strike,,,,,14,Denzer Guzman strikes out swinging.,R,R,R,MIL,LAA,S,,,0,1,2025,1.8,0.49,0.43,1.43,,,,2,7,Top,,,,,,,3.070455585563335,-115.2255247911976,0.2358838886575351,15.229512160127506,23.764707536303753,-28.168287029278986,3.75,1.75,,,,78.9,2650.0,6.4,776295,661388,683734,668930,702332,687401,694192,663368,686217,54.12,,,,,,,,55,2,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,82.0,0.0,-0.056,,,,0.056,,3,-3,0.938,0.062,28,21,28,21,1,2,,,,,3.18,-1.8,-1.8,,,,,,,"Anderson, Grant",681982,R,0.8250000000000001,0.821,,0.9,,,,,0.625,
ST,2025-09-16,84.4,-2.33,5.82,"Beck, Tristan",664983,663941,,swinging_strike,,,,,14,"Jake McCarthy grounds out, second baseman Casey Schmitt to first baseman Wilmer Flores.",R,L,R,AZ,SF,S,,,0,1,2025,1.76,-0.04,0.92,1.11,,,,2,2,Bot,,,,,,,4.091911860496768,-122.84055631143742,-4.477326044289573,16.820102044587962,26.680568315043335,-31.8571282959184,3.51,1.68,,,,84.8,2887.0,6.8,776294,668800,527038,669477,656305,642715,671218,808982,666464,53.74,,,,,,,,21,2,Sweeper,3,4,3,4,4,3,3,4,Standard,Standard,60.0,0.0,-0.056,70.1,8.5,,0.056,,-1,-1,0.394,0.394,29,27,29,28,1,0,,,,,3.27,-1.76,1.76,,27.396204245969734,-30.26339273294017,39.563130261578685,33.49397245760518,49.052333740513546,"Beck, Tristan",663941,R,0.976,,,,,0.856,0.856,0.417,0.684,
ST,2025-09-16,81.4,-1.08,6.52,"Holmes, Clay",630105,605280,,called_strike,,,,,2,Jake Cronenworth homers (11) on a fly ball to center field.,R,L,R,NYM,SD,S,,,0,0,2025,1.74,-0.39,-0.06,3.2,,,,0,3,Top,,,,,,,-1.0443278335688353,-118.47760775613284,-0.0449842656168666,16.445970518782435,25.574000015002294,-36.00297549554002,3.32,1.64,,,,80.3,2903.0,5.8,776304,682626,624413,643446,683146,596019,607043,656775,665742,54.71,,,,,,,,22,1,Sweeper,7,1,1,7,1,7,1,7,Standard,Standard,43.0,0.0,-0.04,,,,0.04,,6,-6,0.946,0.054,32,31,32,31,1,0,,,,,3.86,-1.74,1.74,,,,,,,"Holmes, Clay",605280,R,0.767,0.667,0.264,0.887,,,,0.321,0.613,
CU,2025-09-16,77.7,-2.35,5.82,"Irvin, Jake",671739,663623,,swinging_strike,,,,,14,"Michael Harris II grounds out, second baseman Luis García Jr. to first baseman Andrés Chaparro.",R,L,R,WSH,ATL,S,,,0,0,2025,1.73,0.11,1.35,1.57,,,,0,6,Top,,,,,,,4.827255690042461,-113.01823967059414,-2.343876051652347,13.75347587879212,22.759269331083637,-30.967558554235783,3.56,1.67,,,,78.7,2416.0,7.2,777825,595751,665953,671277,691781,682928,695734,696285,686611,53.27,,,,,,,,47,1,Curveball,2,5,5,2,5,2,5,2,Standard,Standard,59.0,0.0,-0.04,71.5,9.7,,0.04,,-3,3,0.128,0.872,28,24,28,24,3,2,,,,,3.7,-1.73,1.73,,29.070606243386653,-63.55025566540286,33.72003849069305,24.33286353842144,62.064153912489445,"Irvin, Jake",663623,R,0.856,0.8059999999999999,0.445,0.784,,0.748,0.748,0.4029999999999999,,
ST,2025-09-16,83.0,-3.04,5.44,"Kelly, Zack",695391,677161,strikeout,swinging_strike,,,,,14,Brett Harris strikes out swinging.,R,R,R,BOS,ATH,S,2.0,,0,2,2025,1.7,0.44,1.63,1.57,,,,0,9,Top,,,,,,,7.450598034991052,-120.65231982289792,-3.190562829608148,14.876341574950208,26.183038502405324,-27.42281602991993,3.42,1.57,,,,83.8,2710.0,7.1,776310,657136,663993,663853,608324,596115,680776,678882,681987,53.39,,0.0,0.0,1.0,0.0,0.0,,69,3,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,63.0,0.016,-0.168,63.1,7.5,,0.168,,-1,1,0.158,0.842,30,27,30,27,1,3,,,,,2.91,-1.7,-1.7,,11.240439588877374,-4.824746067980914,25.160467375298353,50.80204761657399,29.15017440942056,"Kelly, Zack",677161,R,0.937,0.951,0.58,0.947,,,,,0.5710000000000001,
ST,2025-09-16,82.9,1.76,5.51,"Holton, Tyler",692216,663947,strikeout,swinging_strike,,,,,13,C.J. Kayfus strikes out swinging.,R,L,L,DET,CLE,S,2.0,,1,2,2025,1.67,0.4,-1.03,1.97,,666310.0,678877.0,2,6,Top,,,,,,,-3.1280789539376306,-120.77641270746136,-2.411187497753069,-15.719889924459435,23.808478542282103,-27.96554176958748,3.46,1.6,,,,83.1,2944.0,6.4,776303,693307,679529,650402,628451,595879,682985,678009,672761,54.09,,0.0,0.0,1.0,0.0,0.0,,47,4,Sweeper,1,3,3,1,3,1,3,1,Standard,Standard,295.0,0.032,-0.192,65.2,7.8,,0.192,,-2,2,0.216,0.784,29,23,29,24,1,2,,,,,2.91,-1.67,-1.67,,27.29690320895978,-24.84873333815268,35.468451846329074,41.16378821860556,45.43018410985432,"Holton, Tyler",663947,L,0.856,0.866,0.496,0.966,,0.8270000000000001,0.8270000000000001,,0.493,
ST,2025-09-16,82.0,-2.59,4.4,"Weissert, Greg",691016,669711,,called_strike,,,,,7,Tyler Soderstrom doubles (31) on a sharp fly ball to left fielder Jarren Duran. Jacob Wilson scores.,R,L,R,BOS,ATH,S,,,0,0,2025,1.67,0.77,-0.6,1.99,,,805779.0,2,6,Top,,,,,,,1.266259651093078,-119.3110118237616,-0.2938232641503543,15.518336328411804,25.857111037638106,-25.103449170100287,3.34,1.5,,,,80.8,2815.0,5.8,776310,665966,663853,686765,608324,596115,680776,678882,681987,54.71,,,,,,,,47,1,Sweeper,1,0,0,1,0,1,0,1,Infield shade,Standard,83.0,0.0,-0.043,,,,0.043,,1,-1,0.708,0.292,30,23,30,24,1,0,,,,,2.66,-1.67,1.67,,,,,,,"Weissert, Greg",669711,R,0.74,0.772,,0.942,,0.788,0.788,0.383,0.693,
ST,2025-09-16,79.3,-2.45,4.12,"Anderson, Grant",694203,681982,,called_strike,,,,,9,Denzer Guzman strikes out swinging.,R,R,R,MIL,LAA,S,,,0,0,2025,1.62,0.5,0.57,2.37,,,,2,7,Top,,,,,,,3.5812878723591024,-115.36218929018214,2.101579324449088,13.637569716836383,23.50657030843833,-28.43320493794494,3.79,1.75,,,,79.4,2664.0,6.6,776295,661388,683734,668930,702332,687401,694192,663368,686217,53.9,,,,,,,,55,1,Sweeper,5,2,2,5,2,5,2,5,Standard,Standard,84.0,0.0,-0.044,,,,0.044,,3,-3,0.938,0.062,28,21,28,21,1,2,,,,,3.16,-1.62,-1.62,,,,,,,"Anderson, Grant",681982,R,0.8250000000000001,0.821,,0.9,,,,,0.625,
ST,2025-09-16,81.7,-2.42,5.96,"Blubaugh, AJ",694671,805123,strikeout,swinging_strike,,,,,14,Wyatt Langford strikes out swinging.,R,R,R,HOU,TEX,S,2.0,,2,2,2025,1.61,0.22,2.06,1.42,,,,1,1,Top,,,,,,,7.019802698853851,-118.66173558275564,-3.9792089067876737,13.461893960227206,26.015278208492617,-29.442016051783636,3.32,1.58,,,,81.6,2771.0,6.7,776301,605170,572233,514888,621043,665161,660821,676694,805904,53.81,,0.0,0.0,1.0,0.0,0.0,,2,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,61.0,0.015,-0.23,68.8,8.4,,0.23,,0,0,0.522,0.478,24,23,25,24,1,0,,,,,3.25,-1.61,-1.61,,25.97410072676005,-32.555564805272134,32.009846416302146,54.39366931769155,49.674939360130125,"Blubaugh, AJ",805123,R,0.994,,,0.8470000000000001,,0.861,0.861,,0.512,
CU,2025-09-16,79.2,-2.44,5.53,"Irvin, Jake",642201,663623,,called_strike,,,,,9,Eli White lines out sharply to right fielder Dylan Crews.,R,R,R,WSH,ATL,S,,,0,0,2025,1.56,0.26,0.46,1.96,,,,1,6,Top,,,,,,,3.4667994325672917,-115.26259218037458,-1.425500305481218,13.027337560701753,23.90413632540621,-29.823076766752543,3.67,1.69,,,,80.2,2468.0,7.2,777825,595751,665953,671277,691781,682928,695734,696285,686611,53.28,,,,,,,,48,1,Curveball,2,5,5,2,5,2,5,2,Standard,Standard,75.0,0.0,-0.04,,,,0.04,,-3,3,0.138,0.862,28,31,28,31,3,2,,,,,3.41,-1.56,-1.56,,,,,,,"Irvin, Jake",663623,R,0.856,0.8059999999999999,0.445,0.784,,0.748,0.748,0.4029999999999999,,
ST,2025-09-16,83.9,2.78,5.41,"Hart, Kyle",624413,606996,,called_strike,,,,,14,Pete Alonso strikes out swinging.,R,R,L,NYM,SD,S,,,2,1,2025,1.55,0.23,0.11,1.4,,,,2,4,Bot,,,,,,,-3.1331648719896164,-122.09136994079978,-3.242278495051248,-14.584465296896866,27.85664820302165,-29.381153148803396,3.54,1.64,,,,83.8,2706.0,6.6,776304,666023,656811,650333,592518,630105,657656,701538,665487,53.9,,,,,,,,36,4,Sweeper,8,2,8,2,2,8,8,2,Standard,Standard,287.0,0.0,-0.073,,,,0.073,,6,6,0.968,0.968,32,30,33,31,1,2,,,,,3.05,-1.55,1.55,,,,,,,"Hart, Kyle",606996,L,0.8790000000000001,0.856,,0.983,,,,0.499,0.429,
