pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_KC,eta_SL,eta_ST,eta_SV
CH,2025-10-01,83.7,-1.01,5.56,"Whitlock, Garrett",663757,676477,,called_strike,,,,,5,Called Strike,F,L,R,NYY,BOS,S,,,1,0,2025,2.03,0.12,-0.18,2.36,,,,1,7,Bot,,,,,,,6.040936487032974,-121.7885106064845,-1.1997185723321702,-21.370117219007263,24.0845596814491,-30.971849538174972,3.57,1.67,,,,85.1,2153.0,7.2,813070,665966,663853,686765,608324,596115,680776,678882,681987,53.27,,,,,,,,57,2,Changeup,3,3,3,3,3,3,3,3,Infield shade,Standard,264.0,0.0,-0.05,,,,0.05,,0,0,0.548,0.548,29,28,29,29,1,3,,,,,3.14,2.03,-2.03,,,,,,,"Whitlock, Garrett",676477,R,,0.994,,0.86,,,,0.541,0.6509999999999999,
CH,2025-10-01,82.9,-2.53,5.13,"Williams, Devin",608324,642207,,called_strike,,,,,9,Called Strike,F,R,R,NYY,BOS,S,,,1,0,2025,1.95,-0.48,0.42,1.49,,,,0,8,Top,,,,,,,10.667556591286589,-120.20278815093508,-0.7804163865110476,-21.00021999075324,25.248338324359818,-36.83650730514873,3.32,1.54,,,,83.4,2666.0,7.0,813070,669224,700250,665862,641857,683011,641355,663757,592450,53.49,,,,,,,,60,2,Changeup,3,3,3,3,3,3,3,3,Strategic,Standard,280.0,0.0,-0.05,,,,0.05,,0,0,0.5,0.5,30,31,31,31,1,3,,,,,3.84,1.95,1.95,,,,,,,"Williams, Devin",642207,R,0.968,,,0.872,,,,,,
CH,2025-10-01,86.4,-2.52,5.15,"Williams, Devin",665966,642207,strikeout,swinging_strike,,,,,8,Carlos Narváez strikes out swinging.,F,R,R,NYY,BOS,S,2.0,,2,2,2025,1.91,-0.37,-0.01,1.93,,,,2,8,Top,,,,,,,10.087865243171306,-125.37548710198725,-0.5995746834212929,-22.272169544509342,27.318005552068893,-36.21040961063535,3.54,1.6,,,,87.7,2813.0,7.4,813070,669224,700250,665862,641857,683011,641355,663757,592450,53.07,,0.0,0.0,1.0,0.0,0.0,,62,6,Changeup,3,3,3,3,3,3,3,3,Strategic,Standard,273.0,0.025,-0.225,73.4,9.0,,0.225,,0,0,0.58,0.42,30,26,31,27,1,3,,,,,3.46,1.91,1.91,,19.771016168660097,-29.82655824994483,26.665756512182664,36.6613110122053,49.76779030351385,"Williams, Devin",642207,R,0.968,,,0.872,,,,,,
CH,2025-10-01,84.2,-1.11,5.51,"Whitlock, Garrett",700250,676477,strikeout,swinging_strike,,,,,13,Ben Rice strikes out swinging.,F,L,R,NYY,BOS,S,2.0,,2,2,2025,1.87,-0.09,-0.54,1.6,,,,0,8,Bot,,,,,,,5.109965400927092,-122.4482061589694,-2.472852369068357,-19.74887416029776,26.54078078626949,-32.76665878051677,3.61,1.74,,,,84.8,2207.0,7.0,813070,665966,663993,686765,608324,596115,680776,678882,681987,53.54,,0.0,0.0,1.0,0.0,0.0,,63,6,Changeup,3,3,3,3,3,3,3,3,Infield shade,Standard,266.0,-0.046,-0.232,71.1,8.3,,0.232,,0,0,0.605,0.605,29,26,29,26,1,3,,,,,3.33,1.87,-1.87,,14.90684737626628,-22.303872902693165,29.970018250485584,44.77775348617867,44.96488846573576,"Whitlock, Garrett",676477,R,,0.994,,0.86,,,,0.541,0.6509999999999999,
SI,2025-10-01,90.0,1.58,5.77,"Holton, Tyler",680757,663947,,called_strike,,,,,7,Called Strike,F,L,L,CLE,DET,S,,,0,0,2025,1.81,0.74,-0.33,1.49,,,,0,6,Bot,,,,,,,-8.633270198153085,-130.77803478346488,-6.263235849742375,22.576058473940133,26.006162278791344,-22.59128410359536,3.09,1.3,,,,90.5,2102.0,6.6,813071,693307,679529,650402,656716,595879,682985,678009,672761,53.93,,,,,,,,47,1,Sinker,1,1,1,1,1,1,1,1,Standard,Strategic,135.0,0.0,-0.039,,,,0.039,,0,0,0.574,0.574,29,27,29,28,1,2,,,,,2.07,1.81,1.81,,,,,,,"Holton, Tyler",663947,L,0.856,0.866,0.496,0.966,,0.8270000000000001,0.8270000000000001,,0.493,
CH,2025-10-01,83.9,-2.57,5.13,"Williams, Devin",608324,642207,,called_strike,,,,,14,Called Strike,F,R,R,NYY,BOS,S,,,3,1,2025,1.81,-0.38,0.87,2.04,,,,0,8,Top,,,,,,,11.680424383253468,-121.58976021087754,0.1362233728632131,-20.314798625169303,26.17277341446261,-36.251056818030136,3.32,1.54,,,,84.5,2668.0,7.1,813070,669224,700250,665862,641857,683011,641355,663757,592450,53.36,,,,,,,,60,5,Changeup,3,3,3,3,3,3,3,3,Strategic,Standard,278.0,0.0,-0.094,,,,0.094,,0,0,0.5,0.5,30,31,31,31,1,3,,,,,3.68,1.81,1.81,,,,,,,"Williams, Devin",642207,R,0.968,,,0.872,,,,,,
CH,2025-10-01,83.4,-1.23,5.5,"Whitlock, Garrett",669224,676477,,swinging_strike,,,,,14,Swinging Strike,F,L,R,NYY,BOS,S,,,3,1,2025,1.73,-0.21,0.02,1.48,,,665862.0,2,8,Bot,,,,,,,6.373772809847565,-121.3055572779309,-2.3470394618662453,-18.29802613986052,25.45256512667441,-33.97868772384305,3.53,1.62,,,,84.4,2117.0,7.1,813070,665966,663993,686765,608324,596115,680776,678882,681987,53.36,,,,,,,,66,5,Changeup,3,3,3,3,3,3,3,3,Infield shade,Standard,266.0,0.0,-0.093,36.0,7.8,,0.093,,0,0,0.55,0.55,29,25,29,26,1,3,,,,,3.51,1.73,-1.73,,15.062403474470774,-15.772141696958352,24.188251656604503,36.46714924471583,38.18030443254656,"Whitlock, Garrett",676477,R,,0.994,,0.86,,,,0.541,0.6509999999999999,
SI,2025-10-01,90.5,3.61,5.98,"Hurter, Brant",700932,676428,,called_strike,,,,,4,Called Strike,F,L,L,CLE,DET,S,,,0,0,2025,1.68,0.5,-0.62,2.13,,682177.0,608070.0,1,8,Bot,,,,,,,-13.989751575314468,-130.80718476002156,-4.5196467617418445,22.567593229103817,34.04079655556066,-25.47228975339287,2.94,1.21,,,,88.8,1945.0,6.1,813071,693307,679529,650402,628451,595879,656716,678009,672761,54.38,,,,,,,,68,1,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,114.0,0.0,-0.033,,,,0.033,,2,2,0.951,0.951,26,24,27,25,1,3,,,,,2.37,1.68,1.68,,,,,,,"Hurter, Brant",676428,L,0.7190000000000001,0.785,,0.892,,,,,0.497,
CH,2025-10-01,85.8,-1.35,5.53,"Whitlock, Garrett",641355,676477,,swinging_strike,,,,,14,Swinging Strike,F,L,R,NYY,BOS,S,,,0,0,2025,1.63,0.06,0.05,1.44,,663757.0,,2,7,Bot,,,,,,,6.752324134660999,-124.6754744580433,-3.471217760495135,-18.32149102113428,28.386797456408885,-31.02346809081825,3.8,1.77,,,,86.9,2350.0,7.4,813070,665966,663853,686765,608324,596115,680776,678882,681987,53.13,,,,,,,,59,1,Changeup,3,3,3,3,3,3,3,3,Infield shade,Standard,263.0,0.0,-0.04,62.5,8.9,,0.04,,0,0,0.564,0.564,29,29,29,30,1,3,,,,,3.08,1.63,-1.63,,32.013729482800535,-37.12400043377877,40.80524807992755,29.028883409083814,55.36327406852426,"Whitlock, Garrett",676477,R,,0.994,,0.86,,,,0.541,0.6509999999999999,
CH,2025-10-01,87.3,-1.63,5.58,"Bello, Brayan",669224,678394,,swinging_strike,,,,,8,Swinging Strike,F,L,R,NYY,BOS,S,,,1,0,2025,1.56,0.5,-0.09,1.85,,,,1,2,Bot,,,,,,,6.940176760514402,-126.83279315939014,-3.785337723804512,-18.32582935180139,29.07591313016613,-26.19705568628041,3.53,1.62,,,,87.0,2010.0,6.5,813070,665966,663853,686765,608324,596115,680776,678882,681987,54.02,,,,,,,,13,2,Changeup,2,0,2,0,0,2,2,0,Infield shade,Standard,240.0,0.0,-0.05,68.1,8.8,,0.05,,2,2,0.739,0.739,26,25,26,26,1,0,,,,,2.53,1.56,-1.56,,26.725688196476423,-37.97960058922527,33.6431984779041,34.04657832060765,47.693567548304095,"Bello, Brayan",678394,R,0.802,0.873,0.142,0.953,,,,0.525,0.496,
