pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_KC,eta_SL,eta_ST,eta_SV
CU,2025-10-07,81.8,0.66,6.69,"Fisher, Braydon",669224,680755,,swinging_strike,,,,,6,Swinging Strike,D,L,R,NYY,TOR,S,,,1,1,2025,0.48,1.35,0.41,2.52,,642708.0,,2,5,Bot,,,,,,,-1.4594153523156608,-119.07620311737232,-0.1805280756368275,4.812052595593811,26.05185112712783,-45.12968359070221,3.56,1.63,,,,80.1,2742,5.4,813061,672386,665489,676391,680718,665926,676914,662139,623993,55.07,,,,,,,,53,3,Curveball,7,6,7,6,6,7,7,6,Standard,Standard,15,0.0,-0.057,73.8,8.5,,0.057,,1,1,0.7,0.7,24,25,25,26,1,2,,,,,4.8,-0.48,0.48,,21.41978585737037,-40.36477622487081,24.617180611392136,29.910456212958564,48.83954888950454,"Fisher, Braydon",680755,R,0.948,,0.67,,,0.762,0.762,0.191,,
CU,2025-10-07,84.9,-1.21,6.47,"Nance, Tommy",669224,667297,,called_strike,,,,,5,Called Strike,D,L,R,NYY,TOR,S,,,0,0,2025,1.41,1.06,0.05,2.38,,,,0,8,Bot,,,,,,,0.1159608168283696,-123.5047982436544,-0.960029509084974,14.07620858395932,31.51515560728433,-42.78390469384619,3.56,1.55,,,,82.8,3120,5.6,813061,672386,665489,676391,680718,665926,664770,662139,623993,54.92,,,,,,,,72,1,Curveball,9,6,9,6,6,9,9,6,Infield shade,Standard,25,0.0,-0.039,,,,0.039,,3,3,0.975,0.975,34,25,34,26,1,3,,,,,4.3,-1.41,1.41,,,,,,,"Nance, Tommy",667297,R,,0.8250000000000001,,,,0.812,0.812,0.175,,
KC,2025-10-07,79.3,-2.47,5.32,"Flaherty, Jack",677594,656427,strikeout,swinging_strike_blocked,,,,,14,Julio Rodríguez strikes out swinging.,D,R,R,DET,SEA,S,2.0,,1,2,2025,0.87,0.98,0.72,0.32,,,,2,1,Top,,,,,,,5.3686953394790535,-115.30042758641636,-2.2465757445735384,6.5580975147400284,23.94853300710428,-40.60006398978216,3.28,1.52,,,,79.3,2557,6.6,813056,693307,679529,650402,656716,595879,682985,678009,681481,53.92,,0.0,0.0,1.0,0.0,0.0,,3,4,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,45,0.01,-0.183,26.0,6.7,,0.183,,0,0,0.537,0.463,29,24,30,25,1,0,,,,,4.64,-0.87,-0.87,,12.183366552282084,5.284362509834311,25.96068379798198,46.351393584750255,37.01172686586526,"Flaherty, Jack",656427,R,0.865,0.8140000000000001,,0.835,,0.78,0.78,0.415,,
KC,2025-10-07,80.8,-2.13,5.79,"Montero, Keider",663728,672456,,called_strike,,,,,6,Called Strike,D,L,R,DET,SEA,S,,,0,0,2025,0.89,0.83,0.45,2.56,,,,0,7,Top,,,,,,,4.031194436450187,-117.57050148037249,1.1419443038945492,7.289298865665917,25.666324848858537,-40.31568400535525,3.49,1.46,,,,80.2,3183,6.2,813056,693307,679529,650402,656716,595879,682985,678009,681481,54.3,,,,,,,,52,1,Knuckle Curve,1,5,5,1,5,1,5,1,Infield shade,Standard,43,0.0,-0.039,,,,0.039,,-4,4,0.053,0.947,24,28,25,29,1,3,,,,,4.37,-0.89,0.89,,,,,,,"Montero, Keider",672456,R,0.856,0.8250000000000001,,0.867,,0.7440000000000001,0.7440000000000001,0.384,,
KC,2025-10-07,80.6,-2.87,5.0,"Flaherty, Jack",593871,656427,,called_strike,,,,,8,Called Strike,D,L,R,DET,SEA,S,,,0,0,2025,0.98,0.82,0.15,1.65,,668227.0,663728.0,1,3,Top,,,,,,,4.821956727822769,-117.29102794006798,0.8370518530754902,8.038357675707136,24.07059666699801,-40.115863328263,3.4,1.58,,,,80.3,2527,6.2,813056,693307,679529,650402,656716,595879,682985,678009,681481,54.26,,,,,,,,21,1,Knuckle Curve,0,2,2,0,2,0,2,0,Standard,Standard,58,0.0,-0.033,,,,0.033,,-2,2,0.251,0.749,29,31,30,32,2,1,,,,,4.35,-0.98,0.98,,,,,,,"Flaherty, Jack",656427,R,0.865,0.8140000000000001,,0.835,,0.78,0.78,0.415,,
KC,2025-10-07,82.6,-2.16,5.82,"Montero, Keider",663728,672456,strikeout,swinging_strike,,,,,9,Cal Raleigh strikes out swinging.,D,L,R,DET,SEA,S,2.0,,0,2,2025,0.88,0.76,0.34,1.7,,,,0,7,Top,,,,,,,3.9618199175088753,-120.10295485989693,-1.2779208248036389,7.547519483930316,27.043376701090672,-39.42829241297782,3.59,1.68,,,,82.0,3116,6.3,813056,693307,679529,650402,656716,595879,682985,678009,681481,54.19,,0.0,0.0,1.0,0.0,0.0,,52,3,Knuckle Curve,1,5,5,1,5,1,5,1,Infield shade,Standard,35,0.005,-0.165,66.0,8.7,,0.165,,-4,4,0.053,0.947,24,28,25,29,1,3,,,,,4.15,-0.88,0.88,,20.626346193148468,-24.221111700131484,36.83075852706561,28.62382288701904,43.00285401817435,"Montero, Keider",672456,R,0.856,0.8250000000000001,,0.867,,0.7440000000000001,0.7440000000000001,0.384,,
KC,2025-10-07,80.0,-2.15,5.83,"Montero, Keider",670042,672456,,called_strike,,,,,2,Called Strike,D,L,R,DET,SEA,S,,,0,0,2025,1.45,0.72,-0.23,3.26,,,,1,8,Top,,,,,,,1.4978122351644032,-116.32920163652268,2.5596933195443308,12.531440427692772,27.187490189332205,-39.43594234452701,3.37,1.44,,,,78.9,3068,6.1,813056,693307,679529,650402,656716,595879,682985,678009,681481,54.36,,,,,,,,60,1,Knuckle Curve,1,5,5,1,5,1,5,1,Standard,Standard,45,0.0,-0.039,,,,0.039,,-4,4,0.035,0.965,24,30,25,31,1,0,,,,,4.36,-1.45,1.45,,,,,,,"Montero, Keider",672456,R,0.856,0.8250000000000001,,0.867,,0.7440000000000001,0.7440000000000001,0.384,,
KC,2025-10-07,79.5,-2.64,5.04,"Flaherty, Jack",593871,656427,strikeout,swinging_strike,,,,,14,Jorge Polanco strikes out swinging.,D,L,R,DET,SEA,S,2.0,,2,2,2025,1.15,0.69,0.24,1.08,,,,0,2,Top,,,,,,,4.182719233371462,-115.78462812316084,-0.606937649501763,9.442913459666244,22.897943619892494,-38.462145780753374,3.3,1.62,,,,79.7,2485,6.5,813056,693307,679529,650402,656716,595879,682985,678009,681481,54.02,,0.0,0.0,1.0,0.0,0.0,,8,6,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,52,0.023,-0.233,64.8,8.7,,0.233,,0,0,0.5,0.5,29,31,30,32,1,0,,,,,4.31,-1.15,1.15,,29.755239116097208,-41.7193054748436,33.20824570772473,35.74619213371522,51.28682942369083,"Flaherty, Jack",656427,R,0.865,0.8140000000000001,,0.835,,0.78,0.78,0.415,,
FS,2025-10-07,80.9,-0.92,5.76,"Gilbert, Logan",681481,669302,,swinging_strike,,,,,7,Swinging Strike,D,L,R,DET,SEA,S,,,1,1,2025,0.25,0.65,-0.38,1.85,,,,1,3,Bot,,,,,,,0.7310277324882278,-117.8840601240954,-0.815153447315794,2.204643914913375,23.38449592353306,-38.273105646067336,3.39,1.62,,,,82.9,675,7.6,813056,663728,647304,593871,553993,641487,668227,677594,645302,52.88,,,,,,,,24,3,Split-Finger,0,2,0,2,2,0,0,2,Infield shade,Standard,301,0.0,-0.064,73.3,8.5,,0.064,,-2,-2,0.291,0.291,28,27,28,28,2,1,,,,,4.13,-0.25,0.25,,25.40368937881053,-19.656452443495382,33.18473632517949,44.54933419103593,37.94774550305297,"Gilbert, Logan",669302,R,0.972,0.985,,,0.5750000000000001,0.647,0.647,0.165,,
CU,2025-10-07,77.2,-1.84,5.92,"Bednar, David",665926,670280,,called_strike,,,,,7,Called Strike,D,L,R,NYY,TOR,S,,,1,0,2025,0.65,0.63,-0.42,1.98,,676391.0,,2,8,Top,,,,,,,1.8354104583536304,-112.40807163933168,-0.1992246355202833,5.092189565202149,22.70084040677912,-37.69426777995868,3.32,1.48,,,,76.7,2407,6.2,813061,669224,502671,665862,676609,683011,641355,663757,592450,54.35,,,,,,,,71,2,Curveball,9,6,6,9,6,9,6,9,Standard,Standard,46,0.0,-0.043,,,,0.043,,3,-3,0.954,0.046,30,26,31,27,1,3,,,,,4.49,-0.65,0.65,,,,,,,"Bednar, David",670280,R,0.979,,,,0.73,0.65,0.65,,,
