pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC,IP
SI,2025-10-24,93.8,-1.67,5.13,"Bassitt, Chris",669257,605135,,called_strike,,,,,9,Called Strike,W,R,R,TOR,LAD,S,,,0,0,2025,1.62,0.07,0.39,1.57,,,,0,8,Top,,,,,,,8.88684762499099,-136.16900037745023,-3.489652190434063,-22.21653084699641,35.845279784983106,-30.68200967747582,3.4,1.58,,,,92.8,2130,6.3,813027,672386,665489,643396,676391,665926,664770,662139,680718,54.2,,,,,,,,67,1,Sinker,11,4,4,11,4,11,4,11,Standard,Standard,233,0.0,-0.039,,,,0.039,,7,-7,0.997,0.003,36,30,36,30,1,3,,,,,2.58,1.62,1.62,,,,,,,"Bassitt, Chris",605135,R,0.742,0.762,0.462,0.949,0.95,0.96,0.376,0.871,,0.96,170.1
SI,2025-10-24,94.9,2.13,5.33,"Wrobleski, Justin",676391,680736,,called_strike,,,,,3,Called Strike,W,R,L,TOR,LAD,S,,,0,0,2025,1.49,0.83,0.56,3.07,,,,0,7,Bot,,,,,,,-7.346734631148183,-137.9043139411326,-2.0250878690192007,20.64631859187566,34.0252366131462,-21.38077111840227,3.34,1.55,,,,93.5,2205,5.8,813027,669257,518692,669242,571970,605141,571771,681624,606192,54.72,,,,,,,,64,1,Sinker,11,4,11,4,4,11,11,4,Standard,Standard,143,0.0,-0.039,,,,0.039,,7,7,0.997,0.997,24,29,25,29,1,3,,,,,1.73,1.49,-1.49,,,,,,,"Wrobleski, Justin",680736,L,0.871,0.875,0.514,0.725,,0.669,0.285,,,0.669,66.2
SI,2025-10-24,92.6,-1.85,5.11,"Bassitt, Chris",571771,605135,,called_strike,,,,,3,Called Strike,W,R,R,TOR,LAD,S,,,0,0,2025,1.43,0.41,0.43,3.14,,,606192.0,2,8,Top,,,,,,,8.933571785671672,-134.27463234808496,0.0988581775162927,-19.370562100235443,37.962219262365686,-27.59268053801405,3.42,1.67,,,,91.4,2224,6.4,813027,672386,665489,643396,676391,665926,664770,662139,680718,54.06,,,,,,,,70,1,Sinker,11,4,4,11,4,11,4,11,Standard,Standard,236,0.0,-0.042,,,,0.042,,7,-7,0.999,0.001,36,33,36,34,1,3,,,,,2.33,1.43,1.43,,,,,,,"Bassitt, Chris",605135,R,0.742,0.762,0.462,0.949,0.95,0.96,0.376,0.871,,0.96,170.1
SI,2025-10-24,93.6,-1.71,5.15,"Bassitt, Chris",571970,605135,,called_strike,,,,,8,Called Strike,W,L,R,TOR,LAD,S,,,1,1,2025,1.36,0.11,0.16,1.64,,,606192.0,1,8,Top,,,,,,,7.809567489962936,-135.96850763345236,-3.461578290386875,-18.60613321651983,32.58394960700957,-30.231652328872,3.1,1.51,,,,93.0,2198,6.3,813027,672386,665489,643396,676391,665926,664770,662139,680718,54.25,,,,,,,,69,3,Sinker,11,4,4,11,4,11,4,11,Infield shade,Standard,229,0.0,-0.056,,,,0.056,,7,-7,0.997,0.003,36,34,36,35,1,3,,,,,2.52,1.36,-1.36,,,,,,,"Bassitt, Chris",605135,R,0.742,0.762,0.462,0.949,0.95,0.96,0.376,0.871,,0.96,170.1
CH,2025-10-24,86.5,2.34,6.32,"Snell, Blake",676914,605483,,swinging_strike,,,,,14,Swinging Strike,W,R,L,TOR,LAD,S,,,2,1,2025,1.34,1.01,1.12,1.73,,,,0,3,Bot,,,,,,,-5.707744559540435,-125.6143425822113,-6.780353163240156,15.371250062293326,27.5369844268066,-20.23635742803094,3.1,1.53,,,,87.0,2000,6.9,813027,669257,518692,669242,571970,605141,571771,681624,606192,53.61,,,,,,,,26,4,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,133,0.0,-0.073,71.4,8.0,,0.073,,-2,-2,0.317,0.317,32,26,33,26,2,1,,,,,2.07,1.34,-1.34,,32.234800493897424,-10.582022271205918,34.447193705521045,48.17022789090015,40.14708565251177,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
CH,2025-10-24,85.8,2.2,6.29,"Snell, Blake",676914,605483,,called_strike,,,,,8,Called Strike,W,R,L,TOR,LAD,S,,,1,0,2025,1.33,0.74,-0.03,1.95,,,543807.0,0,5,Bot,,,,,,,-8.056577655994618,-124.53799028080344,-5.488311749608681,15.535522718096436,26.422659943795058,-23.564820189187667,3.1,1.53,,,,86.4,1901,6.9,813027,669257,518692,669242,571970,605141,571771,681624,606192,53.58,,,,,,,,42,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,130,0.0,-0.048,,,,0.048,,0,0,0.612,0.612,32,26,33,26,3,2,,,,,2.39,1.33,-1.33,,,,,,,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
SI,2025-10-24,93.0,-1.82,4.92,"Bassitt, Chris",571970,605135,,called_strike,,,,,9,Called Strike,W,L,R,TOR,LAD,S,,,0,0,2025,1.31,0.01,0.76,1.71,,,606192.0,1,8,Top,,,,,,,9.496941667012448,-135.0642497138891,-2.40156530970507,-18.230583336739425,31.713336181144747,-31.675277005447043,3.1,1.51,,,,92.7,2223,6.4,813027,672386,665489,643396,676391,665926,664770,662139,680718,54.12,,,,,,,,69,1,Sinker,11,4,4,11,4,11,4,11,Infield shade,Standard,230,0.0,-0.04,,,,0.04,,7,-7,0.997,0.003,36,34,36,35,1,3,,,,,2.65,1.31,-1.31,,,,,,,"Bassitt, Chris",605135,R,0.742,0.762,0.462,0.949,0.95,0.96,0.376,0.871,,0.96,170.1
CH,2025-10-24,86.7,2.3,6.24,"Snell, Blake",665489,605483,,called_strike,,,,,8,Called Strike,W,R,L,TOR,LAD,S,,,1,0,2025,1.27,1.09,-0.25,1.59,,,,1,3,Bot,,,,,,,-8.795592765819311,-125.7317497173442,-7.139945005669649,15.347928394070069,27.38548780635325,-19.220666921230425,3.65,1.62,,,,87.3,1943,7.0,813027,669257,518692,669242,571970,605141,571771,681624,606192,53.5,,,,,,,,27,2,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,133,0.0,-0.05,,,,0.05,,-2,-2,0.291,0.291,32,26,33,26,2,1,,,,,1.98,1.27,-1.27,,,,,,,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
CH,2025-10-24,86.8,2.43,6.38,"Snell, Blake",676391,605483,,called_strike,,,,,9,Called Strike,W,R,L,TOR,LAD,S,,,0,0,2025,1.27,0.82,0.33,1.67,,,,0,2,Bot,,,,,,,-7.697127055983539,-126.06411737160111,-6.81076115331857,15.158417978128846,26.34627341452532,-22.16261507114769,3.43,1.57,,,,87.6,1792,7.0,813027,669257,518692,669242,571970,605141,571771,681624,606192,53.53,,,,,,,,17,1,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,127,0.0,-0.039,,,,0.039,,-1,-1,0.437,0.437,32,29,33,29,1,0,,,,,2.22,1.27,-1.27,,,,,,,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
FS,2025-10-24,85.2,-0.52,7.17,"Yesavage, Trey",660271,702056,strikeout,swinging_strike,,,,,8,Shohei Ohtani strikes out swinging.,W,L,R,TOR,LAD,S,2.0,,2,2,2025,1.17,0.41,-0.17,1.57,,,,0,1,Top,,,,,,,3.188527673017867,-123.87178399362764,-7.655279412578558,-12.65404148816044,26.21650572166916,-26.614072540531083,3.51,1.65,,,,85.3,1486,6.5,813027,672386,665489,666182,676391,665926,676914,662139,664702,53.97,,0.0,0.0,1.0,0.0,0.0,,1,5,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,214,0.022,-0.232,75.3,8.8,,0.232,,0,0,0.5,0.5,21,30,22,31,1,0,,,,,2.76,1.17,-1.17,,30.11319403428777,-26.43906199802573,39.94384087018813,41.50905323506957,42.32614552686466,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
