pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC,IP
FF,2025-11-01,97.0,-0.8,5.6,"Sheehan, Emmet",666182,686218,strikeout,swinging_strike,,,,,11,Bo Bichette strikes out swinging.,W,R,R,TOR,LAD,S,2.0,,1,2,2025,-0.32,1.78,-0.13,4.18,,,,0,7,Bot,,,,,,,2.553685807469639,-141.20188903029742,-2.2921446017479257,-4.906653744342219,36.16289351784121,-8.182306967464198,3.7,1.74,,,,97.2,2559,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.81,,0.0,0.0,1.0,0.0,0.0,,61,5,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,202,-0.01,-0.189,54.0,4.9,,0.189,,2,2,0.893,0.893,25,27,26,27,1,3,,,,,0.66,0.32,0.32,,-16.41003756385389,45.548549173274125,28.85840843468315,32.08885772964372,1.0607172652667871,"Sheehan, Emmet",686218,R,0.987,,,0.985,,0.85,0.264,,,0.85,73.1
FF,2025-11-01,96.5,-0.76,5.6,"Sheehan, Emmet",666182,686218,,swinging_strike,,,,,2,Swinging Strike,W,R,R,TOR,LAD,S,,,0,0,2025,-0.3,1.72,0.21,3.68,,,,0,7,Bot,,,,,,,3.2716918580258234,-140.39051455625045,-3.382520408625363,-4.8156298951014325,37.13050160937647,-9.003773078889738,3.7,1.74,,,,96.3,2445,6.6,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.91,,,,,,,,61,1,4-Seam Fastball,4,2,4,2,2,4,4,2,Strategic,Standard,204,0.0,-0.039,69.6,6.4,,0.039,,2,2,0.893,0.893,25,27,26,27,1,3,,,,,0.76,0.3,0.3,,3.298244310027737,18.20893172750818,25.44981724453815,35.457992179042606,19.075513754222776,"Sheehan, Emmet",686218,R,0.987,,,0.985,,0.85,0.264,,,0.85,73.1
FF,2025-11-01,96.6,-1.04,5.48,"Sheehan, Emmet",662139,686218,strikeout,swinging_strike,,,,,12,Daulton Varsho strikes out swinging.,W,L,R,TOR,LAD,S,2.0,,1,2,2025,-0.5,1.7,0.26,3.87,,,672386.0,2,7,Bot,,,,,,,4.635507412313628,-140.5678209552663,-2.5502381664402938,-7.7567488927567005,36.66434908880155,-9.431738115818773,3.39,1.56,,,,96.8,2509,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.78,,0.0,0.0,1.0,0.0,0.0,,64,5,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,207,-0.011,-0.183,71.9,6.3,,0.183,,2,2,0.881,0.881,25,28,26,29,1,3,,,,,0.77,0.5,-0.5,,7.183990376594347,14.72142409924567,18.43481594955716,32.772403999602545,15.845290638235978,"Sheehan, Emmet",686218,R,0.987,,,0.985,,0.85,0.264,,,0.85,73.1
FF,2025-11-01,93.0,-1.58,5.69,"Bieber, Shane",500743,669456,,called_strike,,,,,14,Called Strike,W,R,R,TOR,LAD,S,,,0,0,2025,-0.93,1.69,1.0,1.93,,,,0,11,Top,,,,,,,8.663760941513537,-134.84605219827097,-7.489697171502816,-13.336514365810482,33.20598638585461,-10.12340530590632,3.31,1.63,,,,92.7,2403,6.6,813024,672386,665489,643396,676391,665926,664702,662139,680718,53.92,,,,,,,,92,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,217,0.0,-0.039,,,,0.039,,0,0,0.5,0.5,30,36,30,36,1,4,,,,,1.0,0.93,0.93,,,,,,,"Bieber, Shane",669456,R,0.958,,0.3389999999999999,0.8959999999999999,,0.816,0.131,,,0.816,40.1
FF,2025-11-01,96.6,-0.7,5.56,"Sheehan, Emmet",666182,686218,,swinging_strike,,,,,2,Swinging Strike,W,R,R,TOR,LAD,S,,,0,1,2025,-0.53,1.66,0.18,3.4,,,,0,7,Bot,,,,,,,3.5856057047888115,-140.50672583255366,-3.914145582211935,-7.854390579955711,37.48854405639419,-9.642220532759742,3.7,1.74,,,,96.6,2415,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.78,,,,,,,,61,2,4-Seam Fastball,4,2,4,2,2,4,4,2,Strategic,Standard,205,0.0,-0.055,74.2,6.7,,0.055,,2,2,0.893,0.893,25,27,26,27,1,3,,,,,0.82,0.53,0.53,,3.1197525652357267,7.761295317038115,29.776862106162024,36.023229014587066,20.664990385400625,"Sheehan, Emmet",686218,R,0.987,,,0.985,,0.85,0.264,,,0.85,73.1
FF,2025-11-01,95.8,-1.12,5.38,"Sheehan, Emmet",680718,686218,,called_strike,,,,,8,Called Strike,W,L,R,TOR,LAD,S,,,1,0,2025,-0.71,1.58,-0.21,1.7,,,,1,7,Bot,,,,,,,4.054718041411201,-139.21585741557885,-7.686523578320753,-10.201207360034491,33.06165691633006,-10.075113394780182,3.72,1.8,,,,96.3,2413,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.75,,,,,,,,62,2,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,213,0.0,-0.05,,,,0.05,,2,2,0.883,0.883,25,25,26,26,1,3,,,,,0.92,0.71,-0.71,,,,,,,"Sheehan, Emmet",686218,R,0.987,,,0.985,,0.85,0.264,,,0.85,73.1
FF,2025-11-01,96.8,-1.26,6.01,"Glasnow, Tyler",543807,607192,strikeout,swinging_strike,,,,,6,George Springer strikes out swinging.,W,R,R,TOR,LAD,S,2.0,,1,2,2025,0.03,1.58,0.57,2.57,,665926.0,,0,6,Bot,,,,,,,4.956266910507288,-140.7982330245254,-7.408528827443025,-0.7510105324770366,33.35439657766973,-9.71185294521929,3.55,1.64,,,,99.4,2498,7.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.67,,0.0,0.0,1.0,0.0,0.0,,55,4,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,187,-0.024,-0.241,73.7,6.7,,0.241,,2,2,0.888,0.888,31,35,32,36,1,3,,,,,0.87,-0.03,-0.03,,-1.2538747033995887,18.928241350565205,37.2837752638801,41.79066506768756,11.99121933699304,"Glasnow, Tyler",607192,R,0.7540000000000001,0.736,,,,0.816,0.2289999999999999,,,0.816,90.1
FF,2025-11-01,93.5,-0.56,7.17,"Yesavage, Trey",669257,702056,,called_strike,,,,,2,Called Strike,W,R,R,TOR,LAD,S,,,1,0,2025,-0.42,1.55,0.18,3.1,,,660271.0,0,7,Top,,,,,,,2.8211471166853443,-135.90110598061372,-8.06551221856766,-5.864736833057056,33.632744638406784,-11.347973468645012,3.4,1.67,,,,92.7,2156,6.2,813024,672386,665489,666182,676391,665926,664770,662139,680718,54.32,,,,,,,,59,2,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,198,0.0,-0.048,,,,0.048,,2,-2,0.765,0.235,21,30,22,30,1,3,,,,,1.09,0.42,0.42,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
FF,2025-11-01,95.6,-2.91,5.81,"Scherzer, Max",606192,453286,,called_strike,,,,,3,Called Strike,W,R,R,TOR,LAD,S,,,0,0,2025,-0.57,1.54,0.45,3.06,,,,1,2,Top,,,,,,,10.10845772169086,-138.6736495686501,-4.964138922827358,-9.960541137025254,36.91458216923196,-11.470969371781164,3.42,1.6,,,,94.3,2500,6.2,813024,672386,665489,666182,676391,665926,664770,662139,680718,54.34,,,,,,,,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.0,-0.039,,,,0.039,,0,0,0.523,0.477,40,32,41,33,1,0,,,,,1.01,0.57,0.57,,,,,,,"Scherzer, Max",453286,R,0.93,,0.432,0.991,,0.664,0.285,,,0.664,85.0
FF,2025-11-01,97.4,-1.31,5.94,"Glasnow, Tyler",664770,607192,,called_strike,,,,,9,Called Strike,W,L,R,TOR,LAD,S,,,0,0,2025,0.12,1.54,0.62,2.0,,665926.0,,1,6,Bot,,,,,,,5.037484796885982,-141.43001380221887,-8.733967465183483,0.4133274268551125,34.871607471102216,-9.698821427644129,3.38,1.62,,,,99.5,2487,7.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.75,,,,,,,,56,1,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,192,0.0,-0.038,,,,0.038,,2,2,0.864,0.864,31,30,32,31,1,3,,,,,0.89,-0.12,0.12,,,,,,,"Glasnow, Tyler",607192,R,0.7540000000000001,0.736,,,,0.816,0.2289999999999999,,,0.816,90.1
