pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC
SI,2025-06-19,92.2,-1.91,5.05,"Webb, Logan",608070,657277,,called_strike,,,,,9.0,"José Ramírez grounds out, second baseman Christian Koss to first baseman Dominic Smith.",R,L,R,SF,CLE,S,,,0,0,2025,2.02,-0.22,0.53,2.12,,,680757.0,2,5,Top,,,,,,,10.682619170205149,-133.7327859160038,-1.0000573740234031,-26.608099158698227,34.09159357924763,-34.78675900121615,3.47,1.59,,,,92.1,1984.0,6.8,777440,672275,642086,683766,669477,642715,671218,808982,573262,53.66,,,,,,,,37,1,Sinker,0,1,1,0,1,0,1,0,Strategic,Strategic,314.0,0.0,-0.044,,,,0.044,,-1,1,0.382,0.618,28,32,29,33,3,2,6.0,1.0,6.0,1.0,2.96,2.02,-2.02,25.1,,,,,,"Webb, Logan",657277,R,0.762,0.782,0.482,0.7640000000000001,,,,0.494,,
SI,2025-03-27,97.9,-2.3,5.44,"Skenes, Paul",681146,694973,,called_strike,,,,,4.0,"Jonah Bride grounds out, second baseman Nick Gonzales to first baseman Endy Rodríguez.",R,R,R,MIA,PIT,S,,,1,0,2025,1.89,0.42,-0.8,2.19,,,,2,1,Bot,,,,,,,8.447641660578137,-142.18255561576174,-4.146709500125067,-27.55723761809383,39.07672515074375,-25.617250550272264,3.2,1.48,,,,97.4,2356.0,6.6,778562,663698,682848,693304,663647,643396,502054,665833,668804,53.94,,,,,,,,6,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,241.0,0.0,-0.056,,,,0.056,,0,0,0.51,0.51,23,29,23,30,1,0,,,6.0,1.0,2.01,1.89,1.89,16.5,,,,,,"Skenes, Paul",694973,R,0.974,0.966,,0.976,0.902,0.439,0.297,0.36,,0.439
SI,2025-07-13,93.0,2.17,5.86,"Sánchez, Cristopher",593428,650911,,called_strike,,,,,6.0,Xander Bogaerts singles on a ground ball to left fielder Otto Kemp. Manny Machado to 2nd.,R,R,L,SD,PHI,S,,,2,0,2025,1.86,0.43,0.51,2.63,,,592518.0,0,6,Bot,,,,,,,-8.39789807142342,-134.84064531095922,-3.2393674694624366,24.55718253196558,38.755187617704586,-26.38958291950811,3.66,1.7,,,,92.4,2199.0,6.9,777117,592663,547180,681082,624641,607208,805249,669016,592206,53.65,,,,,,,,46,3,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,122.0,0.0,-0.062,,,,0.062,,-1,-1,0.451,0.451,28,32,29,33,3,2,6.0,1.0,9.0,5.0,2.3,1.86,-1.86,28.7,,,,,,"Sánchez, Cristopher",650911,L,,0.924,,0.836,,,0.233,,,
SI,2025-04-29,91.1,-2.15,5.11,"Webb, Logan",593428,657277,,called_strike,,,,,6.0,Xander Bogaerts strikes out swinging.,R,R,R,SD,SF,S,,,1,0,2025,1.84,0.1,0.35,2.77,,,,0,3,Bot,,,,,,,10.343806707140445,-132.15651289258238,-0.0358218929040953,-23.90888192813747,33.751251146248606,-31.313906471148723,3.58,1.7,,,,91.1,2010.0,6.9,778126,672275,664774,666149,656305,642715,671218,808982,573262,53.58,,,,,,,,24,2,Sinker,3,0,3,0,0,3,3,0,Strategic,Standard,244.0,0.0,-0.049,,,,0.049,,3,3,0.848,0.848,28,32,29,33,2,1,6.0,2.0,5.0,1.0,2.71,1.84,1.84,25.6,,,,,,"Webb, Logan",657277,R,0.762,0.782,0.482,0.7640000000000001,,,,0.494,,
SI,2025-04-06,96.1,1.81,6.29,"Sánchez, Cristopher",669242,650911,,called_strike,,,,,1.0,Tommy Edman flies out to center fielder Brandon Marsh.,R,R,L,PHI,LAD,S,,,0,0,2025,1.84,0.72,-0.68,2.83,,,,2,3,Top,,,,,,,-10.920689572995006,-139.46250894737926,-5.223518113588217,26.51873812242888,32.36891437893248,-21.72488864188453,3.33,1.45,,,,97.3,2228.0,7.2,778434,665561,547180,681082,624641,607208,596146,669016,592206,53.33,,,,,,,,20,1,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,127.0,0.0,-0.045,,,,0.045,,-2,2,0.309,0.691,28,30,29,30,2,1,6.0,1.0,6.0,1.0,1.77,1.84,-1.84,33.0,,,,,,"Sánchez, Cristopher",650911,L,,0.924,,0.836,,,0.233,,,
CH,2025-06-08,88.8,-2.89,5.6,"Skenes, Paul",656941,694973,,swinging_strike,,,,,7.0,Kyle Schwarber strikes out swinging.,R,L,R,PIT,PHI,S,,,0,1,2025,1.79,0.09,-0.8,2.04,,,,2,1,Top,,,,,,,8.88892564813361,-129.02335580232668,-2.8265732291427623,-21.81531726020401,27.426504321981856,-30.7270280849089,3.29,1.52,,,,89.1,1579.0,6.6,777595,680779,669707,693304,663647,643396,672744,665833,668804,53.87,,,,,,,,3,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,271.0,0.0,-0.055,79.1,8.2,,0.055,,0,0,0.537,0.463,23,32,23,32,1,0,5.0,1.0,5.0,1.0,2.81,1.79,-1.79,20.5,21.811627946980646,-17.927933497472935,33.49519514898244,41.57029536803819,42.47422392430039,"Skenes, Paul",694973,R,0.974,0.966,,0.976,0.902,0.439,0.297,0.36,,0.439
SI,2025-07-21,95.6,-1.94,5.07,"Wheeler, Zack",608324,554430,,called_strike,,,,,6.0,"Alex Bregman grounds into a double play, third baseman Otto Kemp to first baseman Bryce Harper. Abraham Toro out at 3rd. Jarren Duran to 2nd. Alex Bregman out at 1st.",R,R,R,PHI,BOS,S,,,3,1,2025,1.78,0.53,0.53,2.24,,647351.0,680776.0,0,3,Top,,,,,,,10.736589645426424,-138.76113374412074,-2.989595969299618,-25.52845351584281,34.2530505523983,-24.88845893655534,3.3,1.54,,,,97.0,2372.0,7.4,777063,592663,547180,681082,805249,607208,596146,669016,592206,53.07,,,,,,,,18,5,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,231.0,0.0,-0.123,,,,0.123,,-1,1,0.299,0.701,35,31,35,31,2,1,9.0,1.0,6.0,1.0,2.0,1.78,1.78,21.4,,,,,,"Wheeler, Zack",554430,R,0.8620000000000001,0.8640000000000001,0.467,,0.853,0.684,,0.459,,0.684
SI,2025-04-02,94.4,2.86,5.87,"Crochet, Garrett",656775,676979,,called_strike,,,,,9.0,Cedric Mullins strikes out swinging.,R,L,L,BAL,BOS,S,,,0,0,2025,1.77,0.67,0.52,2.14,,,,2,5,Bot,,,,,,,-10.066840122408909,-137.0768099327419,-5.574031604799615,24.45207086790124,27.35492950413701,-22.725037002114544,3.44,1.69,,,,95.2,2338.0,6.7,778483,657136,671213,692225,608324,596115,680776,678882,677800,53.83,,,,,,,,39,1,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,133.0,0.0,-0.045,,,,0.045,,-3,-3,0.138,0.138,26,30,26,31,2,1,6.0,2.0,6.0,1.0,1.88,1.77,1.77,24.7,,,,,,"Crochet, Garrett",676979,L,0.8620000000000001,0.86,0.405,0.85,,,,0.549,,
SI,2025-07-06,94.1,2.46,5.19,"Boyd, Matthew",676475,571510,,called_strike,,,,,5.0,Alec Burleson strikes out swinging.,R,L,L,CHC,STL,S,,,2,1,2025,1.76,0.63,0.11,2.19,,691026.0,575929.0,1,1,Top,,,,,,,-10.03385179504449,-136.682804644649,-3.452790215021023,24.288032980437315,31.602875926345224,-23.63375030722544,3.44,1.46,,,,94.3,2236.0,6.6,777219,624512,683737,663538,807713,621020,664023,691718,663656,53.91,,,,,,,,4,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,119.0,0.0,-0.069,,,,0.069,,0,0,0.462,0.538,34,26,34,27,1,0,5.0,1.0,6.0,2.0,1.96,1.76,1.76,17.5,,,,,,"Boyd, Matthew",571510,L,0.947,0.949,,0.902,,0.762,0.254,,,0.762
SI,2025-06-12,94.7,0.81,6.0,"Valdez, Framber",671284,664285,,swinging_strike_blocked,,,,,14.0,Tim Elko strikes out swinging.,R,R,L,HOU,CWS,S,,,0,0,2025,1.76,0.38,0.02,0.71,,,700337.0,2,3,Top,,,,,,,-5.900902353634963,-137.37109678727478,-8.696533357273053,23.492216891207818,38.554375199228026,-25.271000613324116,3.5,1.57,,,,92.3,2255.0,5.7,777546,673237,572233,663898,670623,665161,514888,676694,701358,54.83,,,,,,,,23,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,129.0,0.0,-0.044,76.4,8.1,,0.044,,-1,1,0.407,0.593,31,26,32,27,2,1,7.0,1.0,6.0,27.0,2.24,1.76,-1.76,36.9,6.083007445240355,5.07319560061258,50.25203170495481,39.9198918413156,20.1416675651405,"Valdez, Framber",664285,L,0.5529999999999999,0.7590000000000001,,0.7709999999999999,,0.8270000000000001,0.314,,,0.8270000000000001
