pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC
ST,2025-04-27,80.2,-2.72,5.05,"Ryan, Joe",687263,657746,,called_strike,,,,,2.0,Zach Neto pops out to first baseman Ty France in foul territory.,R,R,R,MIN,LAA,S,,,0,0,2025,2.22,0.1,-0.24,3.19,,,,1,1,Top,,,,,,,1.2708004624105431,-116.74935269347702,2.4532735013354507,19.936231212125048,23.19010438717775,-31.985338637015364,3.23,1.55,,,,80.2,2798.0,6.4,778144,680777,664034,666397,686797,621043,680577,664056,663616,54.1,,,,,,,,2,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,68.0,0.0,-0.038,,,,0.038,,0,0,0.522,0.478,29,24,29,24,1,0,7.0,1.0,5.0,2.0,3.46,-2.22,-2.22,26.0,,,,,,"Ryan, Joe",657746,R,0.968,0.953,,,0.792,0.73,0.336,0.64,,0.73
ST,2025-04-27,78.9,-2.67,4.76,"Ryan, Joe",545361,657746,,called_strike,,,,,9.0,Mike Trout strikes out swinging.,R,R,R,MIN,LAA,S,,,0,0,2025,2.1,-0.17,0.35,2.02,,,,1,6,Top,,,,,,,2.6435916443808476,-114.72409183622436,1.4160426437114475,17.422951944189847,28.43252519047317,-34.23828771503601,3.61,1.61,,,,78.4,2894.0,6.8,778144,680777,664034,666397,686797,621043,680577,664056,663616,53.73,,,,,,,,38,1,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,69.0,0.0,-0.038,,,,0.038,,1,-1,0.703,0.297,29,33,29,34,3,2,7.0,1.0,5.0,2.0,3.94,-2.1,-2.1,22.2,,,,,,"Ryan, Joe",657746,R,0.968,0.953,,,0.792,0.73,0.336,0.64,,0.73
ST,2025-04-23,83.7,-2.4,5.07,"Webb, Logan",592885,657277,strikeout,swinging_strike,,,,,9.0,Christian Yelich strikes out swinging.,R,L,R,SF,MIL,S,2.0,,0,2,2025,1.91,-0.18,0.81,1.8,,,,0,3,Top,,,,,,,3.645212902042468,-121.866382180943,-0.7320241070189264,18.16615712313728,26.075794149599897,-33.990089854323884,3.49,1.76,,,,83.9,2591.0,6.6,778198,672275,664774,683766,656305,642715,671218,808982,573262,53.9,,0.0,0.0,1.0,0.0,0.0,,20,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,36.0,0.025,-0.166,77.5,8.2,,0.166,,0,0,0.5,0.5,28,33,29,34,2,1,5.0,1.0,6.0,1.0,3.45,-1.91,1.91,18.2,18.264364857832895,-7.851552712091507,42.544077414345814,26.545065415194777,35.178481785388584,"Webb, Logan",657277,R,0.762,0.782,0.482,0.7640000000000001,,,,0.494,,
ST,2025-06-15,82.2,-2.21,5.14,"Wheeler, Zack",680718,554430,,swinging_strike,,,,,14.0,Addison Barger strikes out on a foul tip.,R,L,R,PHI,TOR,S,,,1,1,2025,1.81,0.2,0.81,1.35,,,,1,6,Top,,,,,,,3.377858124558917,-119.70990987513106,-2.4365944319580692,16.627565473624298,24.52112056668027,-29.993566798096538,3.74,1.71,,,,83.7,2623.0,7.4,777499,592663,805249,681082,664761,607208,656941,669016,596146,53.13,,,,,,,,47,3,Sweeper,6,2,2,6,2,6,2,6,Standard,Standard,58.0,0.0,-0.06,78.1,9.5,,0.06,,4,-4,0.941,0.059,35,25,35,26,3,2,6.0,2.0,5.0,2.0,3.19,-1.81,1.81,21.4,30.52178939889032,-43.16752905833945,34.11986283326504,30.630895407883308,55.74235418625288,"Wheeler, Zack",554430,R,0.8620000000000001,0.8640000000000001,0.467,,0.853,0.684,,0.459,,0.684
ST,2025-08-11,82.0,2.19,6.4,"Crochet, Garrett",673237,676979,,swinging_strike_blocked,,,,,13.0,"Yainer Diaz grounds out, second baseman Romy Gonzalez to first baseman Abraham Toro.",R,R,L,HOU,BOS,S,,,0,1,2025,1.78,-0.38,-1.42,0.75,,572233.0,,2,3,Bot,,,,,,,-4.7481752273875575,-119.1892922313121,-5.3690996084811395,-15.640586749260605,27.60436492679924,-34.73777369384624,3.17,1.49,,,,82.0,2569.0,6.8,776782,665966,647351,663853,608324,596115,680776,678882,677800,53.7,,,,,,,,27,2,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,310.0,0.0,-0.056,73.0,8.6,,0.056,,1,1,0.66,0.66,26,26,26,27,2,1,6.0,2.0,,1.0,3.83,-1.78,1.78,41.9,25.786904627911095,-37.68893800330544,44.68126598868035,20.731990146014553,51.98889753169712,"Crochet, Garrett",676979,L,0.8620000000000001,0.86,0.405,0.85,,,,0.549,,
ST,2025-04-07,84.1,-2.19,5.12,"Webb, Logan",666158,657277,,called_strike,,,,,4.0,"Gavin Lux grounds out, third baseman Matt Chapman to first baseman LaMonte Wade Jr.",R,L,R,SF,CIN,S,,,1,0,2025,1.73,-0.16,-0.45,2.64,,,,1,4,Top,,,,,,,0.5744041938049743,-122.37218395420766,1.0281978085760175,17.136254708365705,26.77244565281583,-34.234130047766484,3.46,1.79,,,,84.2,2593.0,6.6,778410,672275,664774,666149,656305,642715,671218,808982,573262,53.88,,,,,,,,25,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Strategic,56.0,0.0,-0.049,,,,0.049,,0,0,0.527,0.473,28,27,29,28,2,1,6.0,1.0,6.0,1.0,3.41,-1.73,1.73,21.8,,,,,,"Webb, Logan",657277,R,0.762,0.782,0.482,0.7640000000000001,,,,0.494,,
ST,2025-06-24,82.9,2.47,6.35,"Crochet, Garrett",687263,676979,strikeout,swinging_strike,,,,,5.0,Zach Neto strikes out swinging.,R,R,L,LAA,BOS,S,2.0,,2,2,2025,1.68,-0.14,-0.07,2.71,,,,0,1,Bot,,,,,,,-2.53713574625268,-120.7479891732564,-1.511218595748418,-15.787532162905713,26.114343340493928,-33.47353394444767,3.29,1.55,,,,83.2,2307.0,6.7,777376,665966,663853,691785,681987,596115,680776,678882,701350,53.81,,0.0,0.0,1.0,0.0,0.0,,5,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,312.0,-0.021,-0.232,75.7,7.2,,0.232,,0,0,0.547,0.547,26,24,26,24,1,0,6.0,1.0,6.0,3.0,3.48,-1.68,1.68,39.9,18.992750065295255,-21.07627701778665,29.61446415667307,30.205055128998332,43.88701504212527,"Crochet, Garrett",676979,L,0.8620000000000001,0.86,0.405,0.85,,,,0.549,,
ST,2025-04-14,82.4,-2.51,5.47,"Skenes, Paul",663993,694973,strikeout,called_strike,,,,,8.0,Nathaniel Lowe called out on strikes.,R,L,R,PIT,WSH,S,2.0,,2,2,2025,1.68,0.39,-0.22,2.14,,,,1,4,Top,,,,,,,1.924346719217462,-120.00462898172536,-1.7781752359766672,15.769971257073228,24.55029173586544,-28.254971249848545,3.54,1.63,,,,82.5,2353.0,6.4,778321,680779,665839,624428,663647,643396,502054,665833,457705,54.07,,0.0,0.0,1.0,0.0,0.0,,25,6,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,84.0,0.018,-0.228,,,,0.228,,2,-2,0.764,0.236,23,29,23,30,2,1,6.0,1.0,5.0,1.0,2.97,-1.68,1.68,21.9,,,,,,"Skenes, Paul",694973,R,0.974,0.966,,0.976,0.902,0.439,0.297,0.36,,0.439
ST,2025-08-10,81.8,-2.12,5.02,"Wheeler, Zack",543760,554430,,called_strike,,,,,9.0,"Marcus Semien grounds into a force out, third baseman Edmundo Sosa to second baseman Bryson Stott. Corey Seager out at 2nd. Marcus Semien to 1st.",R,R,R,TEX,PHI,S,,,0,0,2025,1.65,-0.22,0.63,1.56,,,608369.0,1,1,Bot,,,,,,,3.0352310159374323,-118.96435844426976,-0.6855994332408241,14.784147395976058,26.29148508805843,-34.34792049320378,3.39,1.68,,,,82.0,2812.0,6.8,776800,592663,547180,681082,624641,607208,642215,664056,592206,53.7,,,,,,,,6,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,53.0,0.0,-0.041,,,,0.041,,0,0,0.55,0.55,35,34,35,35,1,0,8.0,1.0,,1.0,3.67,-1.65,-1.65,22.0,,,,,,"Wheeler, Zack",554430,R,0.8620000000000001,0.8640000000000001,0.467,,0.853,0.684,,0.459,,0.684
CU,2025-05-17,73.3,2.49,5.85,"Boyd, Matthew",572191,571510,,called_strike,,,,,1.0,Michael A. Taylor strikes out swinging.,R,R,L,CHC,CWS,S,,,1,1,2025,1.56,-0.8,-0.6,3.0,,,,1,5,Top,,,,,,,-3.5203760809697355,-106.62336118365612,2.986886377421091,-11.22142474547793,19.555297110352967,-39.03751758834136,3.4,1.52,,,,72.6,2389.0,5.9,777881,665804,683737,663538,660644,621020,673548,691718,663656,54.56,,,,,,,,39,3,Curveball,4,3,3,4,3,4,3,4,Standard,Standard,313.0,0.0,-0.06,,,,0.06,,1,-1,0.676,0.324,34,34,34,34,2,1,6.0,3.0,6.0,1.0,5.07,-1.56,1.56,32.8,,,,,,"Boyd, Matthew",571510,L,0.947,0.949,,0.902,,0.762,0.254,,,0.762
CU,2025-05-11,72.7,2.51,5.87,"Boyd, Matthew",624413,571510,,called_strike,,,,,6.0,Pete Alonso strikes out on a foul tip.,R,R,L,NYM,CHC,S,,,0,0,2025,1.46,-0.91,0.55,2.59,,,,1,6,Bot,,,,,,,-1.414207982092746,-105.66095563148096,2.595296118869936,-10.354160917565798,23.622533350879543,-39.655852835256866,3.31,1.5,,,,71.3,2408.0,6.0,777968,608348,683737,663538,542932,621020,673548,691718,663656,54.47,,,,,,,,42,1,Curveball,1,1,1,1,1,1,1,1,Infield shade,Standard,311.0,0.0,-0.038,,,,0.038,,0,0,0.541,0.541,34,30,34,31,3,2,6.0,1.0,6.0,1.0,5.34,-1.46,1.46,34.9,,,,,,"Boyd, Matthew",571510,L,0.947,0.949,,0.902,,0.762,0.254,,,0.762
CU,2025-05-02,76.4,0.62,5.88,"Valdez, Framber",805367,664285,,called_strike,,,,,5.0,Chase Meidroth singles on a ground ball to left fielder Jose Altuve. Bobby Dalbec scores. Brooks Baldwin to 2nd.,R,R,L,CWS,HOU,S,,,1,0,2025,1.43,-1.22,-0.13,2.11,,666915.0,681460.0,2,2,Bot,,,,,,,1.0082297367833046,-111.07111160041497,1.4123018694335157,-11.918769731459625,23.37784449318392,-42.7017712338361,3.1,1.39,,,,75.2,2881.0,5.9,778079,673237,572233,663898,670623,665161,514888,676694,701358,54.61,,,,,,,,19,2,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,315.0,0.0,-0.051,,,,0.051,,1,1,0.655,0.655,31,23,32,24,2,1,6.0,1.0,5.0,1.0,5.19,-1.43,1.43,41.7,,,,,,"Valdez, Framber",664285,L,0.5529999999999999,0.7590000000000001,,0.7709999999999999,,0.8270000000000001,0.314,,,0.8270000000000001
CU,2025-05-02,78.0,0.68,5.97,"Valdez, Framber",672820,664285,strikeout,swinging_strike_blocked,,,,,13.0,"Lenyn Sosa strikes out swinging, catcher Yainer Diaz to first baseman Christian Walker.",R,R,L,CWS,HOU,S,2.0,,2,2,2025,1.41,-1.32,-1.36,0.7,,,,0,2,Bot,,,,,,,-1.7757205856162228,-113.42131348029778,-1.8684942403589475,-11.636499338078046,24.71960339224806,-43.27588438937398,3.35,1.59,,,,76.8,3021.0,5.9,778079,673237,572233,663898,670623,665161,514888,676694,701358,54.61,,0.0,0.0,1.0,0.0,0.0,,15,5,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,321.0,-0.02,-0.232,70.7,8.2,,0.232,,1,1,0.66,0.66,31,25,32,25,1,0,6.0,1.0,5.0,1.0,5.13,-1.41,1.41,42.3,22.46958602929836,-28.71086136539706,45.59126486053422,21.841302741606647,44.18210888126701,"Valdez, Framber",664285,L,0.5529999999999999,0.7590000000000001,,0.7709999999999999,,0.8270000000000001,0.314,,,0.8270000000000001
ST,2025-08-12,83.2,-2.43,5.55,"Skenes, Paul",687401,694973,,called_strike,,,,,8.0,"Joey Ortiz doubles (16) on a fly ball to left fielder Jack Suwinski, deflected by center fielder Oneil Cruz.",R,R,R,MIL,PIT,S,,,0,0,2025,1.4,0.21,0.1,1.54,,,,2,4,Bot,,,,,,,3.081279736654962,-121.0996597161044,-3.1626595464807217,13.11732151321104,24.601916395592855,-29.72169626803152,3.49,1.55,,,,84.1,2158.0,7.0,776771,680779,687462,693304,643396,669707,669261,665833,668804,53.53,,,,,,,,32,1,Sweeper,3,0,3,0,0,3,3,0,Standard,Standard,82.0,0.0,-0.045,,,,0.045,,3,3,0.851,0.851,23,26,23,27,2,1,5.0,1.0,,,3.09,-1.4,-1.4,26.3,,,,,,"Skenes, Paul",694973,R,0.974,0.966,,0.976,0.902,0.439,0.297,0.36,,0.439
KC,2025-07-08,84.6,-2.08,6.2,"Brown, Hunter",682657,686613,strikeout,swinging_strike,,,,,9.0,Angel Martínez strikes out swinging.,R,L,R,HOU,CLE,S,2.0,,1,2,2025,0.92,-1.23,0.69,1.41,,,,0,2,Top,,,,,,,4.6364912452331595,-122.96380641977775,-2.2002178699517274,8.055713474713787,29.79351655926826,-44.18630403014373,3.21,1.42,,,,84.0,2679.0,6.5,777192,673237,605170,643289,670623,670097,669450,666211,701358,54.04,,0.0,0.0,1.0,0.0,0.0,,11,5,Knuckle Curve,1,2,2,1,2,1,2,1,Infield shade,Standard,23.0,0.02,-0.192,72.7,7.9,,0.192,,-1,1,0.392,0.608,26,23,27,23,1,0,6.0,1.0,5.0,1.0,4.48,-0.92,0.92,62.0,11.762893355527908,-29.722949840983983,32.562691129236924,26.044499839101952,48.25156289107177,"Brown, Hunter",686613,R,0.949,0.887,0.527,0.968,,0.8079999999999999,0.409,,,0.8079999999999999
