pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC
KC,2025-06-20,84.9,-2.1,6.26,"Brown, Hunter",545361,686613,,called_strike,,,,,6.0,Mike Trout walks. Luis Rengifo to 3rd. Zach Neto to 2nd.,R,R,R,LAA,HOU,S,,,0,0,2025,0.0,1.67,0.68,2.97,,650859.0,687263.0,2,3,Bot,,,,,,,6.503518044575689,-123.3061006241676,2.1281405125864667,-1.5104126166147258,28.5362091037747,-49.79241030556526,3.61,1.89,,,,84.4,2548.0,6.4,777428,673237,572233,643289,670623,665161,669450,676694,701358,54.06,,,,,,,,24,1,Knuckle Curve,0,2,0,2,2,0,0,2,Infield shade,Standard,16.0,0.0,-0.046,,,,0.046,,-2,-2,0.312,0.312,26,33,27,34,2,1,6.0,1.0,6.0,1.0,4.89,0.0,0.0,65.3,,,,,,"Brown, Hunter",686613,R,0.949,0.887,0.527,0.968,,0.8079999999999999,0.409,,,0.8079999999999999
KC,2025-03-28,85.8,-1.85,6.27,"Brown, Hunter",607043,686613,strikeout,swinging_strike_blocked,,,,,14.0,"Brandon Nimmo strikes out swinging, catcher Yainer Diaz to first baseman Christian Walker.",R,L,R,HOU,NYM,S,2.0,,2,2,2025,0.11,1.64,0.15,-0.33,,,,0,4,Top,,,,,,,4.519271273053627,-124.5779049033074,-5.843058541079249,-0.0122395818443771,32.330542742884546,-47.57984215215698,3.53,1.71,,,,85.0,2789.0,6.6,778518,673237,572233,663898,670623,665161,514888,676694,701358,53.92,,0.0,0.0,1.0,0.0,0.0,,22,6,Knuckle Curve,0,3,3,0,3,0,3,0,Standard,Strategic,24.0,0.012,-0.232,45.5,8.1,,0.232,,-3,3,0.176,0.824,26,32,27,32,2,1,,1.0,6.0,1.0,4.82,-0.11,0.11,56.7,20.615305786208214,-11.286111955013231,38.84843402834508,38.4933878717711,40.22866770639186,"Brown, Hunter",686613,R,0.949,0.887,0.527,0.968,,0.8079999999999999,0.409,,,0.8079999999999999
CU,2025-08-03,79.3,0.66,5.81,"Valdez, Framber",663853,664285,strikeout,swinging_strike,,,,,9.0,Romy Gonzalez strikes out swinging.,R,R,L,BOS,HOU,S,2.0,,0,2,2025,-1.12,1.49,0.63,1.76,,,,1,5,Bot,,,,,,,2.014866231795703,-115.40634476671474,0.8034925973513081,-10.308991115200984,24.974807506850237,-45.708589709739826,3.64,1.76,,,,78.2,3051.0,5.8,776895,673237,572233,602104,621043,665161,643289,666211,660821,54.66,,0.0,0.0,1.0,0.0,0.0,,40,3,Curveball,6,1,6,1,1,6,6,1,Standard,Standard,322.0,-0.002,-0.162,74.0,7.5,,0.162,,5,5,0.962,0.962,31,28,32,29,3,2,6.0,1.0,6.0,1.0,5.16,-1.12,1.12,41.7,11.64589700124218,-4.141373206605726,28.35838148966898,44.66983914220752,27.443352927609332,"Valdez, Framber",664285,L,0.5529999999999999,0.7590000000000001,,0.7709999999999999,,0.8270000000000001,0.314,,,0.8270000000000001
CU,2025-04-02,81.0,0.7,6.05,"Valdez, Framber",669087,664285,strikeout,called_strike,,,,,6.0,Sam Huff called out on strikes.,R,R,L,HOU,SF,S,2.0,,0,2,2025,-1.05,1.48,0.44,2.43,,,682641.0,2,3,Top,,,,,,,1.40850002888664,-117.74881249696276,1.4762424179058358,-9.947570588902456,26.739432034770587,-46.297100371165016,3.63,1.68,,,,79.4,3057.0,5.6,778475,673237,572233,663898,670623,665161,670541,676801,701305,54.85,,0.0,0.0,1.0,0.0,0.0,,25,3,Curveball,1,5,5,1,5,1,5,1,Infield shade,Standard,313.0,0.01,-0.168,,,,0.168,,-4,4,0.142,0.858,31,27,32,27,2,1,6.0,3.0,6.0,2.0,5.01,-1.05,1.05,42.2,,,,,,"Valdez, Framber",664285,L,0.5529999999999999,0.7590000000000001,,0.7709999999999999,,0.8270000000000001,0.314,,,0.8270000000000001
CU,2025-03-27,82.0,-2.21,5.41,"Wheeler, Zack",663993,554430,strikeout,swinging_strike_blocked,,,,,13.0,"Nathaniel Lowe strikes out swinging, catcher J.T. Realmuto to first baseman Bryce Harper.",R,L,R,WSH,PHI,S,2.0,,0,2,2025,1.01,1.25,-0.42,0.38,,,,1,2,Bot,,,,,,,2.131731950850237,-119.43733681859452,-2.376990845341256,9.144618803468056,24.53189383221428,-43.795512742554045,3.47,1.61,,,,82.9,2919.0,7.0,778555,592663,547180,681082,664761,607208,596146,669016,592206,53.49,,0.0,0.0,1.0,0.0,0.0,,11,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,48.0,-0.016,-0.162,55.0,8.2,,0.162,,0,0,0.527,0.527,35,29,35,30,1,0,,,6.0,2.0,4.65,-1.01,1.01,27.7,12.034821392002907,-10.75254695072554,32.36751168405695,45.78459266046349,38.086808205165696,"Wheeler, Zack",554430,R,0.8620000000000001,0.8640000000000001,0.467,,0.853,0.684,,0.459,,0.684
CU,2025-04-02,81.0,-2.02,5.49,"Wheeler, Zack",669911,554430,,swinging_strike,,,,,14.0,Michael Toglia strikes out on a foul tip.,R,L,R,PHI,COL,S,,,2,0,2025,1.31,1.23,0.03,0.88,,,,2,7,Top,,,,,,,2.085704226045854,-117.89639075561745,-1.226488758278644,11.632057815599314,25.406790980723756,-43.51098636055933,3.66,1.82,,,,81.4,2828.0,6.8,778482,592663,547180,624641,664761,607208,596146,679032,592206,53.68,,,,,,,,49,3,Curveball,2,1,1,2,1,2,1,2,Standard,Standard,56.0,0.0,-0.063,70.3,9.0,,0.063,,1,-1,0.774,0.226,35,26,35,27,3,2,6.0,2.0,6.0,1.0,4.74,-1.31,1.31,27.5,33.14218890180178,-27.698072830083596,37.01365529585711,39.05463974340829,47.05359202650884,"Wheeler, Zack",554430,R,0.8620000000000001,0.8640000000000001,0.467,,0.853,0.684,,0.459,,0.684
CU,2025-05-11,72.0,2.45,5.91,"Boyd, Matthew",668901,571510,,called_strike,,,,,6.0,"Mark Vientos grounds out, shortstop Dansby Swanson to first baseman Michael Busch.",R,R,L,NYM,CHC,S,,,0,0,2025,-1.39,1.2,0.61,2.84,,,,1,4,Bot,,,,,,,-1.2983665671472848,-104.66226671753758,3.509261209768116,-9.791992236234456,21.282938763173927,-41.79572369823579,3.52,1.45,,,,70.9,2349.0,5.9,777968,608348,683737,663538,542932,621020,673548,691718,663656,54.58,,,,,,,,27,1,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,312.0,0.0,-0.038,,,,0.038,,1,1,0.67,0.67,34,25,34,26,2,1,6.0,1.0,6.0,1.0,5.68,-1.39,1.39,38.0,,,,,,"Boyd, Matthew",571510,L,0.947,0.949,,0.902,,0.762,0.254,,,0.762
CU,2025-05-11,75.6,2.5,5.74,"Boyd, Matthew",596019,571510,strikeout,swinging_strike,,,,,4.0,Francisco Lindor strikes out swinging.,R,R,L,NYM,CHC,S,2.0,,1,2,2025,-1.38,1.12,-0.48,2.69,,,,2,5,Bot,,,,,,,-3.7230223786597394,-109.66866653011576,3.060527140879765,-9.88305415373668,26.92010162321463,-42.035336496052565,3.38,1.56,,,,73.8,2471.0,6.0,777968,608348,683737,663538,542932,621020,673548,691718,663656,54.45,,0.0,0.0,1.0,0.0,0.0,,36,4,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,309.0,-0.01,-0.177,74.1,7.8,,0.177,,1,1,0.677,0.677,34,31,34,32,3,2,6.0,1.0,6.0,1.0,5.27,-1.38,1.38,33.1,14.959386012861426,-24.04307022219591,25.17706597246176,25.431966248974913,38.35244522404094,"Boyd, Matthew",571510,L,0.947,0.949,,0.902,,0.762,0.254,,,0.762
CU,2025-06-14,78.4,-2.32,5.27,"Ryan, Joe",701358,657746,,called_strike,,,,,6.0,Cam Smith lines out sharply to center fielder Byron Buxton.,R,R,R,HOU,MIN,S,,,0,0,2025,0.86,1.07,0.81,2.18,,,,0,5,Bot,,,,,,,5.157914498778037,-113.96853802594636,2.2519782452469945,6.384308225981119,23.548508673776706,-42.15704372144449,3.21,1.58,,,,78.0,2753.0,6.3,777510,543877,664034,665019,686797,621043,650489,621439,670242,54.18,,,,,,,,34,1,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,58.0,0.0,-0.04,,,,0.04,,0,0,0.565,0.565,29,22,29,22,2,1,6.0,1.0,6.0,1.0,4.83,-0.86,-0.86,28.0,,,,,,"Ryan, Joe",657746,R,0.968,0.953,,,0.792,0.73,0.336,0.64,,0.73
CU,2025-06-14,80.4,-2.38,5.14,"Ryan, Joe",572233,657746,,swinging_strike,,,,,14.0,Christian Walker strikes out swinging.,R,R,R,HOU,MIN,S,,,1,1,2025,1.09,1.0,1.73,2.0,,,,0,7,Bot,,,,,,,7.059267031217945,-116.88037112896556,1.7176075916229003,8.383812166333664,24.59384533023995,-41.861294493903074,3.37,1.52,,,,80.2,2824.0,6.5,777510,543877,664034,665019,686797,621043,650489,664056,670242,54.02,,,,,,,,48,3,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,53.0,0.0,-0.061,51.1,7.8,,0.061,,0,0,0.586,0.586,29,34,29,34,3,2,6.0,1.0,6.0,2.0,4.56,-1.09,-1.09,30.7,36.185077520579014,-15.786810719166745,22.26041253540222,52.7331718321601,44.60909546136234,"Ryan, Joe",657746,R,0.968,0.953,,,0.792,0.73,0.336,0.64,,0.73
KC,2025-08-02,81.1,1.72,6.41,"Skubal, Tarik",805249,669373,,swinging_strike,,,,,9.0,Otto Kemp called out on strikes.,R,R,L,PHI,DET,S,,,0,1,2025,-0.45,0.91,0.61,1.58,,,,2,2,Bot,,,,,,,-1.6251283842462056,-118.14630188430976,-2.3934806084116285,-3.848891289764719,24.40747519056561,-40.39626797954946,3.39,1.52,,,,80.9,2509.0,6.3,776912,693307,679529,650402,656716,595879,682985,672761,681481,54.19,,,,,,,,15,2,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,327.0,0.0,-0.055,68.1,8.4,,0.055,,0,0,0.511,0.511,28,25,29,26,1,0,7.0,1.0,6.0,2.0,4.39,-0.45,0.45,51.9,24.966330367432334,-32.643625524498,32.24907597130007,40.04194593085212,47.36042710292914,"Skubal, Tarik",669373,L,0.905,0.873,,0.7959999999999999,,0.53,0.3279999999999999,,,0.53
CH,2025-05-27,85.6,-2.56,4.64,"Webb, Logan",690993,657277,strikeout,swinging_strike,,,,,8.0,Colt Keith strikes out swinging.,R,L,R,DET,SF,S,2.0,,1,2,2025,-0.87,0.9,0.1,1.51,,,650402.0,1,1,Bot,,,,,,,8.0932154997835,-124.3815576332256,0.8193755389895578,-10.743614704917452,27.878409890907015,-41.90649479101875,3.32,1.55,,,,85.7,1535.0,6.7,777755,672275,669477,666149,656305,642715,671218,808982,573262,53.77,,0.0,0.0,1.0,0.0,0.0,,8,4,Changeup,0,0,0,0,0,0,0,0,Standard,Strategic,279.0,-0.028,-0.173,77.9,7.4,,0.173,,0,0,0.55,0.55,28,23,29,24,1,0,6.0,1.0,6.0,1.0,4.05,0.87,-0.87,18.4,17.43217913560224,-10.739358057674917,37.22693050385169,35.49496501365478,40.64665747860665,"Webb, Logan",657277,R,0.762,0.782,0.482,0.7640000000000001,,,,0.494,,
CH,2025-04-18,88.0,-2.05,4.91,"Webb, Logan",681351,657277,strikeout,swinging_strike_blocked,,,,,14.0,Logan O'Hoppe strikes out swinging.,R,R,R,LAA,SF,S,2.0,,2,2,2025,-0.74,0.87,0.69,0.72,,,,1,2,Bot,,,,,,,8.270634205390392,-127.95113569340442,-2.283540987534603,-9.79848005568106,26.028325547853964,-41.45416890458136,3.41,1.62,,,,88.9,1617.0,6.8,778260,672275,664774,666149,656305,642715,671218,808982,573262,53.65,,0.0,0.0,1.0,0.0,0.0,,13,5,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,274.0,-0.016,-0.228,74.5,8.8,,0.228,,0,0,0.527,0.527,28,25,29,25,1,0,5.0,1.0,5.0,1.0,3.81,0.74,0.74,19.1,22.197101966067343,-16.36063282674716,38.53898173355165,46.64060377079437,39.88614977335166,"Webb, Logan",657277,R,0.762,0.782,0.482,0.7640000000000001,,,,0.494,,
KC,2025-05-31,79.8,1.67,6.21,"Skubal, Tarik",679845,669373,,swinging_strike,,,,,14.0,Nick Loftin singles on a line drive to left fielder Riley Greene.,R,R,L,KC,DET,S,,,0,1,2025,-0.37,0.81,0.16,1.25,,,,1,5,Bot,,,,,,,-2.645401965885138,-116.0631479982642,-2.5354729640681217,-2.6929744210058875,25.218328703008556,-39.11052298841767,3.4,1.58,,,,79.5,2545.0,6.5,777694,693307,679529,650402,595879,700242,682985,672761,681481,54.02,,,,,,,,31,2,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,335.0,0.0,-0.051,60.5,8.5,,0.051,,0,0,0.536,0.536,28,26,29,27,2,1,6.0,3.0,6.0,1.0,4.44,-0.37,0.37,54.1,22.69427339756024,-42.06925277513026,28.221850332550453,42.22478909450385,58.96742703126232,"Skubal, Tarik",669373,L,0.905,0.873,,0.7959999999999999,,0.53,0.3279999999999999,,,0.53
