pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2025-08-02,81.6,1.69,6.29,"Skubal, Tarik",624641,669373,field_out,hit_into_play,,,,,14,"Edmundo Sosa grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,X,5.0,ground_ball,1,2,2025,-0.5,-0.27,1.02,1.91,,,,2,7,Bot,102.17,168.76,,,,,-0.5620541303374007,-118.83468101091174,-2.789878944305025,-4.634747774702625,21.969792471966112,-34.44694016331639,3.41,1.61,9.0,75.0,-11.0,82.2,2447,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.92,0.06,0.067,0.0,1.0,0.0,0.0,2.0,58,7,Knuckle Curve,3,5,3,5,5,3,3,5,Standard,Standard,333,-0.015,-0.18,60.6,8.6,0.065,0.18,88.0,-2,-2,0.145,0.145,28,29,29,29,3,2,,,,,3.68,-0.5,0.5,,16.94745289562714,-5.795135005922034,29.737195428625316,43.60966792072333,30.382439477756076
FF,2025-08-02,97.4,1.41,6.37,"Skubal, Tarik",624641,669373,,foul,,,,,2,"Edmundo Sosa grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,S,,,1,2,2025,0.41,1.44,0.14,3.13,,,,2,7,Bot,,,,,,,-4.388542291345177,-141.7037284577606,-6.558718414890647,6.537898287616723,32.21794591619565,-11.411867598045731,3.41,1.61,141.0,67.1,65.0,98.2,2378,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.76,,,,,,,,58,6,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,150,0.0,0.0,69.1,7.1,,0.0,88.0,-2,-2,0.145,0.145,28,29,29,29,3,2,,,,,0.96,0.41,-0.41,,1.8042707896417736,9.523398973404438,30.33272998799736,33.27594454320464,23.398645343765036
FF,2025-08-02,99.2,1.66,6.33,"Skubal, Tarik",624641,669373,,foul,,,,,2,"Edmundo Sosa grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,S,,,1,2,2025,0.29,1.31,-0.14,3.46,,,,2,7,Bot,,,,,,,-5.660940504752609,-144.3782012117661,-5.529693709226866,5.406021565975298,34.28569697286155,-12.746918713506004,3.41,1.61,187.0,79.3,17.0,99.8,2499,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.84,,,,,,,,58,5,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,152,0.0,0.0,61.7,5.9,,0.0,88.0,-2,-2,0.145,0.145,28,29,29,29,3,2,,,,,1.01,0.29,-0.29,,-6.450441268431076,32.6868316705067,31.21833470462876,29.885243165638013,13.75604288102464
CH,2025-08-02,90.2,1.89,6.22,"Skubal, Tarik",624641,669373,,foul,,,,,9,"Edmundo Sosa grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,S,,,1,2,2025,0.9,0.08,0.39,1.79,,,,2,7,Bot,,,,,,,-5.660858303881028,-131.2261994347905,-5.17869591694717,11.614419348089845,29.786319146013764,-30.337375386488493,3.41,1.61,230.0,101.0,13.0,90.1,1798,6.4,776912,693307,679529,650402,656716,595879,682985,663837,672761,54.11,,,,,,,,58,4,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,138,0.0,0.0,72.0,8.9,,0.0,101.0,-2,-2,0.145,0.145,28,29,29,29,3,2,,,,,2.74,0.9,-0.9,,18.45041242326568,-19.228179923846767,31.85748030404422,36.89717926594822,41.58616098648831
CH,2025-08-02,87.4,2.0,6.28,"Skubal, Tarik",624641,669373,,called_strike,,,,,2,"Edmundo Sosa grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,S,,,1,1,2025,0.97,0.23,-0.17,2.95,,,,2,7,Bot,,,,,,,-7.261774697495085,-126.97170675236552,-2.2796022804910865,12.108788824602852,29.32681469243167,-29.370209637143574,3.47,1.67,,,,87.3,1823,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.87,,,,,,,,58,3,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,132,0.0,-0.064,,,,0.064,,-2,-2,0.145,0.145,28,29,29,29,3,2,,,,,2.79,0.97,-0.97,,,,,,
FF,2025-08-02,96.2,1.47,6.42,"Skubal, Tarik",624641,669373,,swinging_strike,,,,,12,"Edmundo Sosa grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,S,,,1,0,2025,0.2,1.55,0.11,3.62,,,,2,7,Bot,,,,,,,-4.075606506136272,-139.97318348023796,-5.373492883536946,3.5541194779556813,33.29893440370952,-10.831965476401644,3.41,1.61,,,,96.7,2286,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.82,,,,,,,,58,2,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,154,0.0,-0.051,76.3,8.0,,0.051,,-2,-2,0.145,0.145,28,29,29,29,3,2,,,,,0.93,0.2,-0.2,,14.566348060259992,3.280796217396721,25.56924658856346,36.487315515877846,22.96996535485704
FF,2025-08-02,97.9,1.41,6.39,"Skubal, Tarik",624641,669373,,ball,,,,,13,"Edmundo Sosa grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,B,,,0,0,2025,0.3,1.42,-0.78,0.56,,,,2,7,Bot,,,,,,,-6.647591552128826,-141.79878721756535,-13.518383762245817,5.677151414267859,34.6139086700177,-9.983594600768074,3.67,1.8,,,,98.2,2442,6.8,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.66,,,,,,,,58,1,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,159,0.0,0.04,,,,-0.04,,-2,-2,0.145,0.145,28,29,29,29,3,2,,,,,1.0,0.3,-0.3,,,,,,
FF,2025-08-02,97.1,1.42,6.39,"Skubal, Tarik",805249,669373,field_out,hit_into_play,,,,,5,Otto Kemp flies out to right fielder Wenceel Pérez.,R,R,L,PHI,DET,X,9.0,fly_ball,1,1,2025,0.23,1.41,-0.07,2.28,,,,1,7,Bot,168.09,82.63,,,,,-4.557834250220473,-141.08776344463735,-8.700334543315968,4.152531797380624,35.47017518566314,-11.53971583033185,3.39,1.52,308.0,85.0,34.0,97.3,2383,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.77,0.017,0.026,0.0,1.0,0.0,0.0,3.0,57,3,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,155,-0.026,-0.243,73.6,7.2,0.042,0.243,88.0,-2,-2,0.171,0.171,28,25,29,26,3,2,,,,,1.04,0.23,-0.23,,5.038463836146819,-0.4878697150623059,39.53093846553061,31.42602147142549,25.5764798941193
FF,2025-08-02,97.1,1.65,6.28,"Skubal, Tarik",805249,669373,,ball,,,,,14,Otto Kemp flies out to right fielder Wenceel Pérez.,R,R,L,PHI,DET,B,,,0,1,2025,0.38,1.46,0.07,1.33,,,,1,7,Bot,,,,,,,-5.1669050477172105,-140.98754274085098,-11.142393721597482,6.288595252478728,33.235454203326206,-10.2880768712206,3.52,1.6,,,,97.9,2468,6.9,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.57,,,,,,,,57,2,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,149,0.0,0.024,,,,-0.024,,-2,-2,0.171,0.171,28,25,29,26,3,2,,,,,0.97,0.38,-0.38,,,,,,
SL,2025-08-02,90.3,2.12,6.28,"Skubal, Tarik",805249,669373,,swinging_strike,,,,,2,Otto Kemp flies out to right fielder Wenceel Pérez.,R,R,L,PHI,DET,S,,,0,0,2025,0.04,0.81,0.16,3.01,,,,1,7,Bot,,,,,,,-5.003320791653108,-131.46515287864293,-3.988498616400181,1.4594353799492654,25.9813067629731,-22.087756882592203,3.39,1.52,,,,91.2,2120,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.86,,,,,,,,57,1,Slider,3,5,3,5,5,3,3,5,Standard,Standard,153,0.0,-0.037,72.1,6.5,,0.037,,-2,-2,0.171,0.171,28,25,29,26,3,2,,,,,1.96,0.04,-0.04,,3.469013060859946,12.746331946250208,31.39684385158712,34.56759362786177,18.41467859442322
